setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VMUdk,323.15,0.7895,0.1199,100,1360,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,323.15,0.8559,0.0495,100,1370,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0374,0.6095,100,1029,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0485,0.4975,100,1067,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0593,0.3848,100,1075,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0692,0.2821,100,1023,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0779,0.1906,100,1021,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.0877,0.0895,100,1057,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.1117,0.6723,100,1109,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.1378,0.817,100,1056,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.1912,0.4374,100,1144,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.2256,0.3425,100,1122,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.2697,0.4953,100,1167,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.2795,0.1819,100,1167,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.3202,0.5734,100,1161,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.4203,0.2165,100,1233,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.4304,0.5232,100,1186,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.4456,0.4021,100,1253,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.5108,0.3257,100,1272,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.5802,0.2258,100,1279,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.5952,0.3418,100,1286,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.672,0.1111,100,1304,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.6845,0.2407,100,1329,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.7895,0.1199,100,1351,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,333.15,0.8559,0.0495,100,1362,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
