setid,"Temperature, K","Mole fraction of 1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hBBYs,318.15,1,100,1436,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0,100,1100.1,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.0505,100,1154.7,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.1001,100,1196.8,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.1492,100,1230.6,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.1998,100,1259,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.3008,100,1304,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.4031,100,1337,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.5048,100,1362,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.6031,100,1381,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.6973,100,1396,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.7994,100,1410,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,0.8711,100,1418,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,323.15,1,100,1431,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
