setid,"Temperature, K","Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-amino-2-phenylacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gknCo,298.15,0.04,0.02974,100,999.495,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.03987,100,999.94,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.04983,100,1000.38,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.06127,100,1000.88,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.06942,100,1001.24,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.08112,100,1001.75,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.04,0.09124,100,1002.2,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0,100,998.756,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.01164,100,999.266,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.02196,100,999.718,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.03075,100,1000.1,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.04024,100,1000.52,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.04957,100,1000.93,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.05987,100,1001.38,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.07045,100,1001.84,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.07942,100,1002.24,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,298.15,0.06,0.08975,100,1002.69,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0,100,994.04,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.01124,100,994.523,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.02165,100,994.971,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.03065,100,995.358,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.03985,100,995.754,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.05178,100,996.267,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.06132,100,996.677,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.07089,100,997.088,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.07984,100,997.473,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0,0.09123,100,997.963,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0,100,994.169,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.01002,100,994.597,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.02046,100,995.044,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.02959,100,995.434,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.03968,100,995.865,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.04981,100,996.298,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.06022,100,996.743,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.06984,100,997.155,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.0802,100,997.598,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.005,0.08966,100,998.002,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0,100,994.56,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.01124,100,995.037,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.02078,100,995.441,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.03124,100,995.885,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.03947,100,996.234,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.05132,100,996.736,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.05987,100,997.098,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.07081,100,997.562,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.07945,100,997.929,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.02,0.08975,100,998.365,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0,100,995.086,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.01032,100,995.524,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.01978,100,995.925,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.02974,100,996.347,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.03987,100,996.776,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.04983,100,997.199,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.06127,100,997.684,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.06942,100,998.029,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.08112,100,998.525,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.04,0.09124,100,998.955,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0,100,995.615,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.01164,100,996.102,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.02196,100,996.533,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.03075,100,996.9,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.04024,100,997.297,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.04957,100,997.687,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.05987,100,998.118,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.07045,100,998.56,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.07942,100,998.935,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,308.15,0.06,0.08975,100,999.367,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0,100,990.22,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.01124,100,990.69,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.02165,100,991.125,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.03065,100,991.501,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.03985,100,991.886,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.05178,100,992.384,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.06132,100,992.783,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.07089,100,993.183,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.07984,100,993.557,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0,0.09123,100,994.033,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0,100,990.321,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.01002,100,990.743,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.02046,100,991.183,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.02959,100,991.568,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.03968,100,991.993,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.04981,100,992.42,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,318.15,0.005,0.06022,100,992.859,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
