setid,Mole fraction of 1-butyl-3-methylpyridinium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VsYrM,0.8,338.15,101.3,1300,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.8,343.15,101.3,1297,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.8,348.15,101.3,1293,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.8,353.15,101.3,1289,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.8,358.15,101.3,1285,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.8,363.15,101.3,1282,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,323.15,101.3,1317,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,328.15,101.3,1313,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,333.15,101.3,1308,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,338.15,101.3,1305,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,343.15,101.3,1301,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,348.15,101.3,1297,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,353.15,101.3,1293,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,358.15,101.3,1289,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
VsYrM,0.9,363.15,101.3,1286,Bouarab et al. (2020a),Density,Liquid,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,
