setid,"Temperature, K","Mole fraction of N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CETco,323.15,0.0992,101,989.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.2597,101,1087.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.4049,101,1121.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.5075,101,1135.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.5953,101,1144.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.7121,101,1153.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.8336,101,1160.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.9202,101,1164.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,323.15,0.9692,101,1166.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.0108,101,803.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.0992,101,984.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.2597,101,1083,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.4049,101,1117.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.5075,101,1131.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.5953,101,1140.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.7121,101,1149.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.8336,101,1156.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.9202,101,1160.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,328.15,0.9692,101,1162.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.0108,101,799,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.0992,101,980.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.2597,101,1078.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.4049,101,1113.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.5075,101,1127.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.5953,101,1136.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.7121,101,1145.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.8336,101,1152.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.9202,101,1156.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,333.15,0.9692,101,1158.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.0108,101,794.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.0992,101,975.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.2597,101,1074.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.4049,101,1108.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.5075,101,1123.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.5953,101,1132.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.7121,101,1141.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.8336,101,1148.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.9202,101,1152.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,338.15,0.9692,101,1154.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
