setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xaGPv,0.0981,0.1099,85.9,298.15,1103.29,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.1301,85.9,298.15,1103.95,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.1473,85.9,298.15,1104.48,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0981,0.169,85.9,298.15,1105.17,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0,85.9,298.15,1103.73,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.01,85.9,298.15,1104.06,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.0294,85.9,298.15,1104.7,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.0497,85.9,298.15,1105.36,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.0709,85.9,298.15,1106.05,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.0902,85.9,298.15,1106.67,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.1111,85.9,298.15,1107.35,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.1302,85.9,298.15,1107.95,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.1541,85.9,298.15,1108.7,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.1923,0.1674,85.9,298.15,1109.11,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
