setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Solvent: MolaLity of L-histidine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jzVDe,303.15,0.024,0.1,101,1001.7,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.027,0.01,101,996.726,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.027,0.05,101,998.948,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.027,0.1,101,1001.74,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.03,0.01,101,996.758,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.03,0.05,101,998.972,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,303.15,0.03,0.1,101,1001.78,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0,0.01,101,994.631,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0,0.05,101,996.793,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0,0.1,101,999.656,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.003,0.01,101,994.698,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.003,0.05,101,996.87,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.003,0.1,101,999.733,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.006,0.01,101,994.747,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.006,0.05,101,996.979,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.006,0.1,101,999.786,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.009,0.01,101,994.797,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.009,0.05,101,997.037,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.009,0.1,101,999.831,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.012,0.01,101,994.851,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.012,0.05,101,997.076,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.012,0.1,101,999.872,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.015,0.01,101,994.897,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.015,0.05,101,997.119,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.015,0.1,101,999.922,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.018,0.01,101,994.953,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.018,0.05,101,997.135,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.018,0.1,101,999.949,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.021,0.01,101,994.983,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.021,0.05,101,997.189,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.021,0.1,101,999.975,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.024,0.01,101,995.029,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.024,0.05,101,997.229,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.024,0.1,101,1000.02,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.027,0.01,101,995.071,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.027,0.05,101,997.274,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.027,0.1,101,1000.08,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.03,0.01,101,995.101,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.03,0.05,101,997.3,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,308.15,0.03,0.1,101,1000.12,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0,0.01,101,992.808,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0,0.05,101,994.954,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0,0.1,101,997.795,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.003,0.01,101,992.87,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.003,0.05,101,995.027,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.003,0.1,101,997.871,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.006,0.01,101,992.914,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.006,0.05,101,995.131,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.006,0.1,101,997.92,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.009,0.01,101,992.95,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.009,0.05,101,995.186,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.009,0.1,101,997.96,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.012,0.01,101,993.004,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.012,0.05,101,995.222,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.012,0.1,101,998.01,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.015,0.01,101,993.045,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.015,0.05,101,995.259,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.015,0.1,101,998.05,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.018,0.01,101,993.103,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.018,0.05,101,995.278,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.018,0.1,101,998.085,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.021,0.01,101,993.145,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.021,0.05,101,995.327,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.021,0.1,101,998.111,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.024,0.01,101,993.181,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.024,0.05,101,995.36,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.024,0.1,101,998.153,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.027,0.01,101,993.219,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.027,0.05,101,995.393,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.027,0.1,101,998.189,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.03,0.01,101,993.246,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.03,0.05,101,995.427,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
jzVDe,313.15,0.03,0.1,101,998.226,Sharma and Chauhan (2014),Density,Liquid,AAdrVa,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
