setid,Mole fraction of triethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
crpJH,0.4472,333.15,101,1104.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,293.15,101,1122.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,298.15,101,1119.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,303.15,101,1116.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,308.15,101,1113.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,313.15,101,1110.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,318.15,101,1107.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,323.15,101,1104.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5003,328.15,101,1101.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,293.15,101,1116.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,298.15,101,1113.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,303.15,101,1110.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,308.15,101,1107.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,313.15,101,1104.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,318.15,101,1101.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,323.15,101,1098.9,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.5485,328.15,101,1096,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
