setid,Mole fraction of benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DsWkr,0.7485,323.15,101,1167.41,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,328.15,101,1163.47,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,333.15,101,1159.55,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,338.15,101,1155.64,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,343.15,101,1151.72,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.7485,348.15,101,1147.75,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.9164,293.15,101,1208.9,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.9164,298.15,101,1205,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.9164,303.15,101,1201,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.9164,308.15,101,1197,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
