setid,"Temperature, K",Mole fraction of 1-ethylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kvnyW,313.15,0.1003,100,838.95,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.1993,100,893.45,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.2994,100,938.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.4002,100,975,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.501,100,1006.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.5977,100,1031.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.7003,100,1054.4,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.8001,100,1073.6,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,0.8945,100,1090.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,313.15,1,100,1109,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0,100,763.48,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.1003,100,835.03,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.1993,100,889.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.2994,100,934.59,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.4002,100,971.7,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.501,100,1002.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.5977,100,1027.9,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.7003,100,1051.2,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.8001,100,1070.4,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,0.8945,100,1087.7,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,318.15,1,100,1105.9,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
