setid,"Temperature, K","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YhuvO,318.15,0.005,0.03395,100,991.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.04936,100,991.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.0661,100,991.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.07309,100,992,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.08073,100,992.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.005,0.098076,100,992.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0,100,990.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.01817,100,991,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.03436,100,991.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.04964,100,991.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.06614,100,992,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.07252,100,992.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.08203,100,992.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.01,0.09813,100,992.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0,100,991.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.0185,100,991.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.03342,100,992.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.04842,100,992.4,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.06579,100,992.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.07305,100,993,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.08162,100,993.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.03,0.09995,100,993.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0,100,992.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.01809,100,992.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.03331,100,992.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.04934,100,993.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.06584,100,993.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.07331,100,993.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.0818,100,994,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,318.15,0.05,0.09801,100,994.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
