setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NJycK,308.15,0.02626,84.5,0.035,996.108,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.02989,84.5,0.035,996.194,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.04546,84.5,0.035,996.558,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.06577,84.5,0.035,997.036,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.07572,84.5,0.035,997.26,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,308.15,0.09927,84.5,0.035,997.803,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0,84.5,0.035,993.592,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00256,84.5,0.035,993.669,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00285,84.5,0.035,993.676,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00378,84.5,0.035,993.704,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00488,84.5,0.035,993.739,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00504,84.5,0.035,993.742,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.0055,84.5,0.035,993.756,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00606,84.5,0.035,993.771,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00769,84.5,0.035,993.817,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.00899,84.5,0.035,993.847,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.01353,84.5,0.035,993.962,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.0151,84.5,0.035,993.996,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.01835,84.5,0.035,994.075,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.02137,84.5,0.035,994.143,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.02626,84.5,0.035,994.258,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.02989,84.5,0.035,994.341,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.04546,84.5,0.035,994.692,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.06577,84.5,0.035,995.156,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.07572,84.5,0.035,995.373,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,313.15,0.09927,84.5,0.035,995.898,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
