setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EnhwF,318.15,0.5604,101,1249.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.5796,101,1261.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.6001,101,1273.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.6195,101,1284.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.6403,101,1298.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.6594,101,1308.6,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.68,101,1324.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7004,101,1337.4,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7206,101,1351.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7403,101,1365.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7596,101,1381.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7799,101,1395.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.7994,101,1411.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.8207,101,1426.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.84,101,1441.2,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.8605,101,1454.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.8778,101,1467.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.8998,101,1484.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.9202,101,1497.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.9393,101,1513.5,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.9606,101,1530.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,0.9803,101,1550.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,318.15,1,101,1598.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
