setid,"Temperature, K","MolaLity of tetraethylammonium chloride, mol/kg","MolaLity of triethylamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ueSha,298.15,0.32027,0,101,997.271,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.37591,0,101,997.259,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.39484,0,101,997.235,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.39484,0.28658,101,993.007,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.39484,0.48907,101,990.113,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.55195,0,101,997.473,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.55195,0.4361,101,991.352,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.55195,0.61661,101,988.8,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.61791,0,101,997.594,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.90346,0,101,998.338,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.92464,0.45328,101,992.413,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0.92464,0.52627,101,991.514,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.05925,0,101,993.931,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.13266,0,101,994.295,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.18041,0,101,994.311,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.23557,0,101,994.32,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.37591,0,101,994.328,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.467,0,101,994.168,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.6775,0,101,994.319,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,303.15,0.87255,0,101,994.702,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
