setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IKpXi,0.5351,0.0444,101,298.15,908.43,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5406,0.0616,101,298.15,907.01,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5518,0.087,101,298.15,904.28,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5871,0.1206,101,298.15,894.59,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5944,0.2839,101,298.15,891.36,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5946,0.2432,101,298.15,892.32,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5971,0.3626,101,298.15,889.29,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.5987,0.1605,101,298.15,891.91,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.6949,0.122,101,298.15,866.68,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.695,0.183,101,298.15,866.87,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.6961,0.2735,101,298.15,865.36,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.728,0.0365,101,298.15,856,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.7421,0.05,101,298.15,852.7,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.7632,0.0692,101,298.15,847.78,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.7718,0.0217,101,298.15,844.58,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.7949,0.123,101,298.15,841.45,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.8013,0.159,101,298.15,839.12,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.8754,0.0119,101,298.15,817.44,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.9003,0.0598,101,298.15,814.04,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
