setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lmore,0.036,318.15,100,990.64,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,293.15,100,998.95,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,298.15,100,997.79,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,303.15,100,996.29,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,308.15,100,994.79,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,313.15,100,992.81,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.039,318.15,100,990.67,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,293.15,100,999,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,298.15,100,997.82,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,303.15,100,996.32,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,308.15,100,994.82,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,313.15,100,992.87,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.042,318.15,100,990.7,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,293.15,100,999.05,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,298.15,100,997.85,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,303.15,100,996.36,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,308.15,100,994.84,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,313.15,100,992.9,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
lmore,0.045,318.15,100,990.72,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
