setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JePZu,308.15,0.5604,0.2535,100,1178.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.6002,0.3617,100,1198.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.6545,0.1295,100,1187.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.7078,0.0525,100,1191.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.7287,0.2257,100,1209.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.8075,0.1402,100,1214.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.8825,0.0606,100,1219,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.068,0.5284,100,995.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.1009,0.2975,100,975.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.1038,0.7936,100,1077,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.1126,0.2205,100,970.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.129,0.1085,100,962.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.1672,0.3906,100,1044.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.2108,0.7759,100,1131.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.2126,0.2277,100,1044.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.2309,0.5332,100,1102.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.2325,0.1539,100,1045.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.3114,0.3618,100,1114,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.345,0.5414,100,1148.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.3492,0.6287,100,1159,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.356,0.2933,100,1122.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.398,0.1998,100,1126.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.4538,0.0964,100,1133,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.4835,0.3567,100,1168.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.4887,0.4803,100,1182.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.5604,0.2535,100,1175.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.6002,0.3617,100,1194.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.6545,0.1295,100,1183.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.7078,0.0525,100,1188.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.7287,0.2257,100,1205.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.8075,0.1402,100,1211,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,313.15,0.8825,0.0606,100,1215.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
