setid,"Solvent: MolaLity of 1-butyl-2,3-dimethylimidazolium bromide, mol/kg","Temperature, K","MolaLity of L-phenylalanine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nSUDM,0.1,298.15,0.0793,100,1005.33,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,298.15,0.084,100,1005.53,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,298.15,0.0966,100,1006.07,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0,100,1000.44,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0114,100,1000.94,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0313,100,1001.8,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0399,100,1002.17,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0519,100,1002.68,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.059,100,1002.98,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0693,100,1003.42,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0793,100,1003.84,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.084,100,1004.04,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
nSUDM,0.1,303.15,0.0966,100,1004.57,Fang et al. (2017),Density,Liquid,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
