setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cgTNh,328.15,0.0402,100,819,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.0802,100,867,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.1004,100,887,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.1203,100,906,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.1594,100,939,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.2032,100,971,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.3007,100,1027,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.3994,100,1069,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.5013,100,1103,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.5994,100,1129,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.7006,100,1151,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.8011,100,1169,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,0.8988,100,1184,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,328.15,1,100,1197,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0,100,754,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.0202,100,786,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.0402,100,814,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.0802,100,863,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.1004,100,883,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.1203,100,902,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.1594,100,936,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.2032,100,967,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.3007,100,1023,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.3994,100,1065,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.5013,100,1099,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.5994,100,1126,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.7006,100,1148,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.8011,100,1165,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,0.8988,100,1180,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,333.15,1,100,1193,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0,100,749,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.0202,100,782,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.0402,100,810,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.0802,100,858,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.1004,100,879,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.1203,100,898,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.1594,100,932,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.2032,100,964,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.3007,100,1019,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.3994,100,1062,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.5013,100,1096,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.5994,100,1122,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.7006,100,1144,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.8011,100,1162,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,0.8988,100,1177,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
cgTNh,338.15,1,100,1190,Krolikowska et al. (2023),Density,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,AAIsrh,CCO,ethanol,,,
