setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gouCF,0.02,0.19875,293.15,100,1004.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.19875,298.15,100,1003.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.19875,303.15,100,1001.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.19875,308.15,100,1000.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.24949,288.15,100,1007,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.24949,293.15,100,1006,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.24949,298.15,100,1004.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.24949,303.15,100,1003.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.24949,308.15,100,1001.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.29497,288.15,100,1008.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.29497,293.15,100,1007.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.29497,298.15,100,1006.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.29497,303.15,100,1004.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.29497,308.15,100,1003,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.35655,288.15,100,1010.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.35655,293.15,100,1009.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.35655,298.15,100,1007.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.35655,303.15,100,1006.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.02,0.35655,308.15,100,1004.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0,288.15,100,1000.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0,293.15,100,999.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0,298.15,100,998.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0,303.15,100,996.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0,308.15,100,995.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.0104,288.15,100,1000.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.0104,293.15,100,999.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.0104,298.15,100,998.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.0104,303.15,100,997.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.0104,308.15,100,995.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.03083,288.15,100,1001.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.03083,293.15,100,1000.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.03083,298.15,100,999.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.03083,303.15,100,997.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.03083,308.15,100,996,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.05021,288.15,100,1001.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.05021,293.15,100,1000.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.05021,298.15,100,999.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.05021,303.15,100,998.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.05021,308.15,100,996.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.06896,288.15,100,1002.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.06896,293.15,100,1001.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.06896,298.15,100,1000.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.06896,303.15,100,998.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.06896,308.15,100,997,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.10046,288.15,100,1003.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.10046,293.15,100,1002.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.10046,298.15,100,1001.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.10046,303.15,100,999.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.10046,308.15,100,997.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.14875,288.15,100,1004.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.14875,293.15,100,1003.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.14875,298.15,100,1002.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.14875,303.15,100,1001,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.14875,308.15,100,999.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.20157,288.15,100,1006.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.20157,293.15,100,1005.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.20157,298.15,100,1004,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.20157,303.15,100,1002.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.20157,308.15,100,1000.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.25045,288.15,100,1007.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.25045,293.15,100,1006.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.25045,298.15,100,1005.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.25045,303.15,100,1003.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.25045,308.15,100,1002.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.29684,288.15,100,1009,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.29684,293.15,100,1007.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.29684,298.15,100,1006.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.29684,303.15,100,1005.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.29684,308.15,100,1003.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.34684,288.15,100,1010.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.34684,293.15,100,1009.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.34684,298.15,100,1008.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.34684,303.15,100,1006.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.04,0.34684,308.15,100,1004.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0,288.15,100,1001.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0,293.15,100,1000,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0,298.15,100,998.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0,303.15,100,997.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0,308.15,100,995.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.01003,288.15,100,1001.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.01003,293.15,100,1000.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.01003,298.15,100,999,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.01003,303.15,100,997.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.01003,308.15,100,995.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.03009,288.15,100,1002,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.03009,293.15,100,1000.9,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.03009,298.15,100,999.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.03009,303.15,100,998.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.03009,308.15,100,996.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.04966,288.15,100,1002.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.04966,293.15,100,1001.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.06,0.04966,298.15,100,1000.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
