setid,"Temperature, K","Solvent: MolaLity of 1-butyl-4-methylpyridinium chloride, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tqACT,303.15,0.075,0.2022,100,1002.7,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0,100,996.96,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.01991,100,997.62,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.059,100,998.88,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.0999,100,1000.16,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.1396,100,1001.36,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.1703,100,1002.27,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,303.15,0.1,0.2006,100,1003.14,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0,100,994.59,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.02,100,995.22,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.0597,100,996.48,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.0994,100,997.72,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.1406,100,999,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.1706,100,999.92,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.025,0.2007,100,1000.84,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0,100,994.83,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.01956,100,995.46,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.0599,100,996.75,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.0995,100,997.98,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.1402,100,999.23,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.17,100,1000.13,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.05,0.1998,100,1001.01,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0,100,995.07,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.02098,100,995.74,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.06,100,996.96,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.1004,100,998.17,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.1389,100,999.28,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.1706,100,1000.17,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.075,0.2022,100,1001.01,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0,100,995.3,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.01991,100,995.96,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.059,100,997.21,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.0999,100,998.48,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.1396,100,999.68,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.1703,100,1000.57,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
tqACT,308.15,0.1,0.2006,100,1001.44,Sharma et al. (2017),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
