setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-threonine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yCbWb,310.15,0,0.3869,101.3,1008.9,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0,0.4789,101.3,1012.4,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0,0.5872,101.3,1016.4,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0,0.6687,101.3,1019.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0,101.3,995.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0.2032,101.3,1004,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0.3023,101.3,1007.9,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0.3991,101.3,1011.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0.5142,101.3,1016.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.0513,0.5918,101.3,1019,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0,101.3,998,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0.2984,101.3,1010,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0.3961,101.3,1013.8,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0.5048,101.3,1017.9,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0.5974,101.3,1021.4,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.101,0.6885,101.3,1024.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0,101.3,1002.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0.2063,101.3,1010.9,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0.2953,101.3,1014.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0.5015,101.3,1022.2,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0.6034,101.3,1025.9,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2009,0.703,101.3,1029.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0,101.3,1006.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0.1996,101.3,1014.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0.3011,101.3,1018.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0.491,101.3,1025.8,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0.5998,101.3,1029.8,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,310.15,0.2981,0.7048,101.3,1033.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0,101.3,990.2,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.1926,101.3,998,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.2858,101.3,1001.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.3869,101.3,1005.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.4789,101.3,1009.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.5872,101.3,1013.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0,0.6687,101.3,1016,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0,101.3,992.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0.2032,101.3,1000.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0.3023,101.3,1004.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0.3991,101.3,1008.4,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0.5142,101.3,1012.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.0513,0.5918,101.3,1015.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0,101.3,994.8,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0.2984,101.3,1006.7,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0.3961,101.3,1010.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0.5048,101.3,1014.6,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0.5974,101.3,1018,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.101,0.6885,101.3,1021.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0,101.3,999.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0.2063,101.3,1007.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0.2953,101.3,1011,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0.5015,101.3,1018.8,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0.6034,101.3,1022.5,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2009,0.703,101.3,1026.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0,101.3,1003.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0.1996,101.3,1011.2,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0.3011,101.3,1015.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0.491,101.3,1022.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0.5998,101.3,1026.3,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
yCbWb,318.15,0.2981,0.7048,101.3,1030.1,Patyar et al. (2018),Density,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
