setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of trisodium citrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cGdaJ,303.15,0.00906,84.5,0.035,1002.32,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.01212,84.5,0.035,1002.39,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.01517,84.5,0.035,1002.47,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.01678,84.5,0.035,1002.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.02068,84.5,0.035,1002.6,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.02594,84.5,0.035,1002.73,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.03052,84.5,0.035,1002.84,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.04592,84.5,0.035,1003.19,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.06231,84.5,0.035,1003.57,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.07686,84.5,0.035,1003.9,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,303.15,0.1094,84.5,0.035,1004.64,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0,84.5,0.035,1000.42,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00117,84.5,0.035,1000.45,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00202,84.5,0.035,1000.48,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00261,84.5,0.035,1000.49,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00287,84.5,0.035,1000.5,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00371,84.5,0.035,1000.53,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00437,84.5,0.035,1000.54,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00499,84.5,0.035,1000.56,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.0055,84.5,0.035,1000.57,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00602,84.5,0.035,1000.58,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.00906,84.5,0.035,1000.65,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.01212,84.5,0.035,1000.72,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.01517,84.5,0.035,1000.79,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.01678,84.5,0.035,1000.83,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.02068,84.5,0.035,1000.92,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.02594,84.5,0.035,1001.05,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.03052,84.5,0.035,1001.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.04592,84.5,0.035,1001.49,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.06231,84.5,0.035,1001.85,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.07686,84.5,0.035,1002.17,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,308.15,0.1094,84.5,0.035,1002.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0,84.5,0.035,998.572,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00117,84.5,0.035,998.596,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00202,84.5,0.035,998.624,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00261,84.5,0.035,998.639,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00287,84.5,0.035,998.644,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00371,84.5,0.035,998.671,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00437,84.5,0.035,998.687,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00499,84.5,0.035,998.7,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.0055,84.5,0.035,998.715,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00602,84.5,0.035,998.722,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.00906,84.5,0.035,998.788,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.01212,84.5,0.035,998.859,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.01517,84.5,0.035,998.928,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.01678,84.5,0.035,998.961,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.02068,84.5,0.035,999.048,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.02594,84.5,0.035,999.173,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.03052,84.5,0.035,999.274,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.04592,84.5,0.035,999.598,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.06231,84.5,0.035,999.946,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.07686,84.5,0.035,1000.25,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,313.15,0.1094,84.5,0.035,1000.94,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
