setid,"Temperature, K","MolaLity of tetradecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wTsuE,298.15,0.6966,101,5.394,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.7951,101,6.01,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.02004,101,0.17,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.02993,101,0.244,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.04695,101,0.368,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.04813,101,0.365,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.04985,101,0.378,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.05936,101,0.457,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.07974,101,0.606,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.08999,101,0.677,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.09501,101,0.713,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1002,101,0.746,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1046,101,0.773,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1121,101,0.829,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1205,101,0.891,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1322,101,0.975,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1532,101,1.125,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.1784,101,1.297,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.201,101,1.454,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.2496,101,1.773,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.3163,101,2.196,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.3507,101,2.389,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.4038,101,2.742,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.5109,101,3.359,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.5969,101,3.83,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.6966,101,4.345,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,308.15,0.7951,101,4.822,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
