setid,"Temperature, K","MolaLity of dodecyl(2-hydroxyethyl)dimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TZKPl,313.15,0.01099,100,992.554,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01195,100,992.584,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.013,100,992.616,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01395,100,992.644,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01498,100,992.676,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01595,100,992.701,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01793,100,992.75,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01991,100,992.8,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.02489,100,992.92,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.02994,100,993.043,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.03493,100,993.17,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.0399,100,993.291,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.04493,100,993.419,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.04982,100,993.537,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.05488,100,993.66,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.00798,100,990.446,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.009,100,990.476,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01003,100,990.506,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01099,100,990.534,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01195,100,990.562,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.013,100,990.593,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01395,100,990.621,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01498,100,990.65,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01595,100,990.679,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01793,100,990.727,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.01991,100,990.776,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.02489,100,990.893,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.02994,100,991.013,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.03493,100,991.136,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.0399,100,991.254,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.04493,100,991.378,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.04982,100,991.49,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,318.15,0.05488,100,991.613,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
