setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nqeii,333.15,0.5052,100,1073,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,333.15,0.6022,100,1096,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,333.15,0.6938,100,1113,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,333.15,0.8049,100,1131,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,333.15,0.9073,100,1145,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,333.15,1,100,1155,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0,100,749,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.0534,100,823,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.1054,100,876,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.1535,100,915,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.2015,100,947,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.306,100,1002,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.4029,100,1039,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.5052,100,1069,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.6022,100,1092,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.6938,100,1110,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.8049,100,1128,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,0.9073,100,1141,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,338.15,1,100,1152,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
