setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium carbonate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YvNVr,313.15,0.00201,84.5,0.035,996.013,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00301,84.5,0.035,996.042,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00306,84.5,0.035,996.045,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00393,84.5,0.035,996.07,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00454,84.5,0.035,996.09,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00514,84.5,0.035,996.11,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.00757,84.5,0.035,996.172,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.01211,84.5,0.035,996.285,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.01869,84.5,0.035,996.441,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.0243,84.5,0.035,996.552,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.03106,84.5,0.035,996.707,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.04716,84.5,0.035,997.089,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.06162,84.5,0.035,997.41,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.07499,84.5,0.035,997.715,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.09157,84.5,0.035,998.114,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0.11563,84.5,0.035,998.647,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
