setid,Mole fraction of 1-ethyl-3-methylimidazolium heptachlorodialuminate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vXFXV,0.8901,313.15,100,1368.7,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.8901,323.15,100,1359.5,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.8901,333.15,100,1350.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.8901,343.15,100,1341.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.8901,353.15,100,1332.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,293.15,100,1395.3,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,303.15,100,1385.8,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,313.15,100,1376.5,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,323.15,100,1367.2,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,333.15,100,1358,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,343.15,100,1348.9,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,1,353.15,100,1339.8,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
