setid,"Temperature, K","MolaLity of sodium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aHTPS,318.15,0.0273,101,1189.2,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.054,101,1190.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.058,101,1190.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.0676,101,1191.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.0903,101,1192.5,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.1069,101,1193.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.1159,101,1194,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.1377,101,1195.5,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0.1739,101,1197.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0,101,1180.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.0273,101,1182.2,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.054,101,1183.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.058,101,1183.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.0676,101,1184.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.0903,101,1185.5,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.1069,101,1186.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.1159,101,1187,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.1377,101,1188.4,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,328.15,0.1739,101,1190.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0,101,1173.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.0273,101,1175.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.054,101,1177,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.058,101,1176.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.0676,101,1177.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.0903,101,1178.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.1069,101,1179.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.1159,101,1180,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.1377,101,1181.5,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,338.15,0.1739,101,1183.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0,101,1166.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.0273,101,1168.4,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.054,101,1169.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.058,101,1169.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.0676,101,1171,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.0903,101,1171.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.1069,101,1172.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.1159,101,1173.1,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.1377,101,1174.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,348.15,0.1739,101,1176.4,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0,101,1159.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.0273,101,1161.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.054,101,1163,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.058,101,1162.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.0676,101,1164.2,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.0903,101,1164.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.1069,101,1165.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.1159,101,1166.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.1377,101,1167.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,358.15,0.1739,101,1169.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
