setid,"Pressure, kPa","Temperature, K","MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rbkgW,19000,403.1,0.10419,1,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.12286,1.2,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.1388,1.4,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.17906,1.8,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.20888,2.1,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.2468,2.5,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.35062,3.6,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.50062,5.1,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,0.70357,7.199,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
rbkgW,19000,403.1,1.059,10.294,De Giacomo et al. (1999),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
