setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of lithium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NvEjF,318.15,0.01,0.011,100,991.644,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0,100,991.393,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.001,100,991.463,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.003,100,991.603,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.005,100,991.743,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.007,100,991.883,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.009,100,992.023,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.03,0.011,100,992.163,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0,100,992.125,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.001,100,992.194,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.003,100,992.331,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.005,100,992.469,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.007,100,992.606,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.009,100,992.743,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.05,0.011,100,992.881,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
