setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fTWZT,0.75,333.15,97.6,997.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.75,338.15,97.6,994.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.75,343.15,97.6,991.8,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.75,348.15,97.6,988.9,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.75,353.15,97.6,986,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.862,303.15,97.6,1011.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.862,308.15,97.6,1008.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.862,313.15,97.6,1005.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.862,318.15,97.6,1002.4,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.862,323.15,97.6,999.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
