setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BYfBi,318.15,0.0001,100,0.01,990.323,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0002,100,0.01,990.328,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0003,100,0.01,990.335,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0004,100,0.01,990.339,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0005,100,0.01,990.344,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0006,100,0.01,990.349,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0007,100,0.01,990.353,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0008,100,0.01,990.357,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.0009,100,0.01,990.364,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,318.15,0.001,100,0.01,990.37,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
