setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Zamko,0.05,0.1611,293.15,100,1005.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1611,298.15,100,1004.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1611,303.15,100,1002.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,278.15,100,1008.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,283.15,100,1008.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,288.15,100,1007.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,293.15,100,1006.3,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,298.15,100,1005.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1813,303.15,100,1003.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,278.15,100,1009.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,283.15,100,1008.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,288.15,100,1008,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,293.15,100,1007,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,298.15,100,1005.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.2016,303.15,100,1004.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
