setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zXdPe,0.05,0.1408,288.15,100,1005.5,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1408,293.15,100,1004.5,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1408,298.15,100,1003.3,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1408,303.15,100,1001.8,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1606,278.15,100,1007.2,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1606,283.15,100,1006.9,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1606,293.15,100,1005.1,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1606,298.15,100,1003.9,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1606,303.15,100,1002.3,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,278.15,100,1007.8,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,283.15,100,1007.5,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,288.15,100,1006.7,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,293.15,100,1005.7,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,298.15,100,1004.4,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.1808,303.15,100,1002.9,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,278.15,100,1008.5,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,283.15,100,1008.1,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,288.15,100,1007.3,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,293.15,100,1006.3,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,298.15,100,1005,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zXdPe,0.05,0.202,303.15,100,1003.5,Yan et al. (2020),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
