setid,Weight fraction of N-pentadecyl-N-methylmorpholinium bromide,"Temperature, K","MolaRity of tetradecyltrimethylammonium bromide, mol/dm3","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TcTnw,0.001,293.15,0.00247,101,1.33332,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00302,101,1.33334,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00357,101,1.33336,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00412,101,1.33339,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00467,101,1.33341,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00027,101,1.33269,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00082,101,1.33273,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00137,101,1.33276,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00192,101,1.33279,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00247,101,1.33282,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00302,101,1.33284,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00357,101,1.33286,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00412,101,1.33288,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,298.15,0.00467,101,1.3329,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00027,101,1.33215,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00082,101,1.33218,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00137,101,1.33221,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00192,101,1.33225,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00247,101,1.33228,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00302,101,1.3323,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00357,101,1.33232,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00412,101,1.33234,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,303.15,0.00467,101,1.33236,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00027,101,1.33145,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00082,101,1.33148,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00137,101,1.33151,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00192,101,1.33154,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00247,101,1.33157,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00302,101,1.33158,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00357,101,1.3316,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00412,101,1.33162,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,308.15,0.00467,101,1.33163,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
