setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VoUfl,323.15,0.1002,101,1.4613,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.2002,101,1.4656,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.2997,101,1.4697,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.4001,101,1.4737,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.4995,101,1.4774,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.5998,101,1.481,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.7003,101,1.4842,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.7998,101,1.4873,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,0.8999,101,1.4905,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,323.15,1,101,1.4939,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,328.15,0,101,1.4547,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
