setid,"MolaLity of 1-methyl-3-tetradecylimidazolium bromide, mol/kg","Solvent: MolaLity of tetraethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jGUSR,0.001842,0,308.15,101,1.3314,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0,318.15,101,1.3299,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.001,298.15,101,1.33269,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.001,308.15,101,1.33144,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.001,318.15,101,1.32994,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.002,298.15,101,1.33272,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.002,308.15,101,1.33147,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.002,318.15,101,1.32997,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.005,298.15,101,1.33278,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.005,308.15,101,1.33155,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0.005,318.15,101,1.33004,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0,298.15,101,1.33266,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0,308.15,101,1.33142,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0,318.15,101,1.32992,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.001,298.15,101,1.33271,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.001,308.15,101,1.33146,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.001,318.15,101,1.32996,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.002,298.15,101,1.33273,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.002,308.15,101,1.33149,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.002,318.15,101,1.32999,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.005,298.15,101,1.33279,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.005,308.15,101,1.33156,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002105,0.005,318.15,101,1.33005,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0,298.15,101,1.33268,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0,308.15,101,1.33144,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0,318.15,101,1.32994,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.001,298.15,101,1.33272,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.001,308.15,101,1.33148,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.001,318.15,101,1.32998,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.002,298.15,101,1.33274,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.002,308.15,101,1.3315,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.002,318.15,101,1.33001,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.005,298.15,101,1.3328,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.005,308.15,101,1.33157,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.002368,0.005,318.15,101,1.33006,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0,298.15,101,1.3327,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0,308.15,101,1.33146,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0,318.15,101,1.32996,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.001,298.15,101,1.33273,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.001,308.15,101,1.33149,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.001,318.15,101,1.33,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.002,298.15,101,1.33275,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.002,308.15,101,1.33151,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.002,318.15,101,1.33002,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.005,298.15,101,1.33281,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.005,308.15,101,1.33158,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00263,0.005,318.15,101,1.33007,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0,298.15,101,1.33271,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0,308.15,101,1.33148,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0,318.15,101,1.32998,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.001,298.15,101,1.33274,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.001,308.15,101,1.3315,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.001,318.15,101,1.33001,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.002,298.15,101,1.33276,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.002,308.15,101,1.33152,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.002,318.15,101,1.33003,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.005,298.15,101,1.33282,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.005,308.15,101,1.33159,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00289,0.005,318.15,101,1.33008,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0,298.15,101,1.33272,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0,308.15,101,1.33149,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0,318.15,101,1.32999,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.001,298.15,101,1.33275,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.001,308.15,101,1.33151,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.001,318.15,101,1.33002,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.002,298.15,101,1.33277,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.002,308.15,101,1.33153,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.002,318.15,101,1.33004,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.005,298.15,101,1.33284,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.005,308.15,101,1.3316,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00316,0.005,318.15,101,1.33009,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0,298.15,101,1.33273,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0,308.15,101,1.3315,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0,318.15,101,1.33,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.001,298.15,101,1.33276,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.001,308.15,101,1.33152,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.001,318.15,101,1.33003,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.002,298.15,101,1.33278,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.002,308.15,101,1.33154,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.002,318.15,101,1.33005,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.005,298.15,101,1.33285,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.005,308.15,101,1.33161,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00342,0.005,318.15,101,1.3301,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00368,0,298.15,101,1.33274,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00368,0,308.15,101,1.33152,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.00368,0,318.15,101,1.33001,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
