setid,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Zqkzf,Queiros et al. (2020),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,,
xWQBd,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
PfZjV,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
lFfRm,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
IScvo,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IPDbC,Carissimi et al. (2019),Refractive index,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
aWqOP,Carissimi et al. (2019),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
iOGEd,Sadeghi et al. (2010b),Refractive index,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
fQaSl,Shekaari and Jebali (2010a),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
hXcXZ,Shekaari and Jebali (2010a),Refractive index,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QrmQE,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
tEJJb,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
BwCRt,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
owfvV,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
GIBYq,Shekaari and Jebali (2010a),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
fEbup,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
UrgZd,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
yswDZ,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
NnGey,Chiappe et al. (2017),Refractive index,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,,,,,
JhvBE,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
FoRje,Chiappe et al. (2017),Refractive index,Liquid,AAyWcJ,P(OC)([O-])=O.C(CCCCC)N1C=[N+](C=C1)C,1-hexyl-3-methylimidazolium methyl phosphonate,,,,,,,
CoKXk,Chiappe et al. (2017),Refractive index,Liquid,AAtCAT,P(OC)([O-])=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium methyl phosphonate,,,,,,,
ddnav,Chiappe et al. (2017),Refractive index,Liquid,AAkxlj,CO[PH](=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methyl phosphonate",,,,,,,
olJbg,Chiappe et al. (2017),Refractive index,Liquid,ABBHKX,CP(OC)([O-])=O.C(CCCCC)N1C=[N+](C=C1)C,1-hexyl-3-methylimidazolium methyl methylphosphonate,,,,,,,
yixcg,Chiappe et al. (2017),Refractive index,Liquid,AAvmpG,CP(OC)([O-])=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium methyl methylphosphonate,,,,,,,
AnVWN,Chiappe et al. (2017),Refractive index,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,,
mNnJF,Chiappe et al. (2017),Refractive index,Liquid,AAnhZu,CN1C=C[N+](=C1)C.COP(=O)(C)[O-],"1,3-dimethylimidazolium methyl methylphosphonate",,,,,,,
jndKt,Ghalami-Choobar and Fallahkar (2019),Refractive index,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
Vnhfn,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
EveVT,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
CnKTn,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
vZjId,Guo et al. (2017a),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,
aYhCc,Guo et al. (2017a),Refractive index,Liquid mixture 1,Liquid mixture 2,,45,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,
STvAz,Guo et al. (2017b),Refractive index,Liquid mixture 1,Liquid mixture 2,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
emhpf,Hong et al. (2013a),Refractive index,Liquid,AADYJk,O,water,AAmaPc,CC(O)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium lactate,,,,
qAIzf,Hong et al. (2013a),Refractive index,Liquid,AADYJk,O,water,AAufur,CC(O)C(=O)[O-].CCCCC[n+]1ccn(C)c1,1-pentyl-3-methylimidazolium lactate,,,,
znswX,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
EXAMu,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
DsWGP,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
ppNxo,Shekaari and Kazempour (2011a),Refractive index,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
EcoIa,Shekaari and Kazempour (2012b),Refractive index,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
rkmBp,Shekaari and Kazempour (2012c),Refractive index,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,
PVbMs,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
ZBOpo,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
rSKxs,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
tmTBF,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
KWRMY,Zhang et al. (2017e),Refractive index,Liquid,ABAJtl,CCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-pentyl-3-methylimidazolium DL-threoninate,AADYJk,O,water,,,,
ndrXH,Zhang et al. (2017e),Refractive index,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,,
fvsJe,Zhang et al. (2017e),Refractive index,Liquid,ABCtwq,CCCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium DL-threoninate,AADYJk,O,water,,,,
jamkm,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
qVAuG,Zhao et al. (2021b),Refractive index,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AADYJk,O,water,,,,
RKEGv,Zhao et al. (2021b),Refractive index,Liquid,AAupbB,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium glycinate,AADYJk,O,water,,,,
fqNbs,Zheng et al. (2016a),Refractive index,Liquid mixture 1,Liquid mixture 2,,45,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
ErGGO,Zheng et al. (2016a),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
bfhBZ,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
gSZiI,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,
tqdOx,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
rXohd,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
pFfcK,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
HyukL,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
gWGmx,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
hPtyx,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
Sqzob,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
klMzW,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
QTMKd,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,,,,
WdshM,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
kovSU,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AADYJk,O,water,,,,
VCDFT,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
iMNnC,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
LpQTF,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
JNjSu,Shojaeian et al. (2021),Refractive index,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
Xhpgo,Wang et al. (2022f),Refractive index,Liquid,AApKPw,C(C)(=O)[O-].C(C)OCCN1C=[N+](C=C1)C,1-(2-ethoxyethyl)-3-methylimidazolium acetate,AADYJk,O,water,,,,
uDDuz,Wang et al. (2022f),Refractive index,Liquid,AAuylj,C(C(O)C)(=O)[O-].C(C)OCCN1C=[N+](C=C1)C,1-(2-ethoxyethyl)-3-methylimidazolium lactate,AADYJk,O,water,,,,
nHkuL,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,41,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
QRyOD,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,41,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
aKHzF,Zhang et al. (2016f),Refractive index,Liquid mixture 2,Liquid mixture 1,,41,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,
pjyaI,Zhang et al. (2016f),Refractive index,Liquid mixture 1,Liquid mixture 2,,41,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,
KdssD,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
hajBH,Fang et al. (2014),Refractive index,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
ioFkS,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YXjmq,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
QszcR,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
dyGaj,Xing et al. (2016a),Refractive index,Liquid,AADYJk,O,water,AApenP,CCCCC[n+]1ccccc1.N#C[N-]C#N,1-pentylpyridinium dicyanamide,,,,
bbDZg,Xing et al. (2016a),Refractive index,Liquid,AADYJk,O,water,AAkKPA,CCC[n+]1ccccc1.N#C[N-]C#N,1-propylpyridinium dicyanamide,,,,
ZQNsR,Xing et al. (2016a),Refractive index,Liquid,AADYJk,O,water,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,,,,
qqxYm,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
FcEkz,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
FHuqt,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
wUhjo,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,
NWtSB,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
NweMQ,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate,,,,
FQPrf,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
QbzEC,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,,
OSvRD,Gonzalez et al. (2013b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
xqjzA,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
MtRpk,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
cPHLJ,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
YSvSp,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
icFYs,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
LUNOy,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
aILBy,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
weqMJ,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
beClq,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
Heegb,Pereiro and Rodriguez (2008b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
Cubyh,Pereiro and Rodriguez (2008c),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
ufinQ,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
NjsOt,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
aUJTZ,Tao et al. (2017a),Refractive index,Liquid mixture 2,Liquid mixture 1,,38,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,
