setid,reference,property,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VmPgh,Endo and Nishikawa (2013),Normal melting temperature,Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
kfgTZ,Endo et al. (2010),Normal melting temperature,Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
fclUK,Er and Wang (2016),Normal melting temperature,Crystal,AAxiiR,CCCCCC[NH2+]CCN.O=C([O-])C(F)(F)F,N-hexylethylenediammonium trifluoroacetate,,,,,,
bCwpI,Er and Wang (2016),Normal melting temperature,Crystal,ABEfqP,CCCCCC[NH2+]CCN.O=S(=O)([O-])C(F)(F)F,N-hexylethylenediammonium trifluoromethanesulfonate,,,,,,
esocG,Er and Wang (2016),Normal melting temperature,Crystal,ABDDJL,CCCCC(CC)C[NH2+]CCN.O=C([O-])C(F)(F)F,N-(2-ethylhexyl)ethylenediammonium trifluoroacetate,,,,,,
ZqQEa,Er and Wang (2016),Normal melting temperature,Crystal,ABJzOP,CCCCCCCC[NH2+]CCN.O=S(=O)([O-])C(F)(F)F,N-octylethylenediammonium trifluoromethanesulfonate,,,,,,
flHoU,Er and Wang (2016),Normal melting temperature,Crystal,ABDDEK,CCCCCCCC[NH2+]CCN.O=C([O-])C(F)(F)F,N-octylethylenediammonium trifluoroacetate,,,,,,
wQqqO,Er et al. (2019),Normal melting temperature,Crystal,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
moLdg,Every et al. (2001),Normal melting temperature,Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
tqAbf,Every et al. (2001),Normal melting temperature,Crystal 1,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
EJhch,Fadeeva et al. (2020),Normal melting temperature,Crystal,AAyXSN,CCCCn1cc[nH+]c1.O=C([O-])c1ccccc1O,N-butylimidazolium salicylate,,,,,,
TBIvx,Fadeeva et al. (2020),Normal melting temperature,Crystal,AAtqIW,CCCCn1cc[nH+]c1.O=C([O-])C(F)(F)F,N-butylimidazolium trifluoroacetate,,,,,,
twlZG,Fadeeva et al. (2020),Normal melting temperature,Crystal,ABRszH,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
beTQA,Fadeeva et al. (2020),Normal melting temperature,Crystal,ABAmzS,CCCCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,N-butylimidazolium trifluoromethanesulfonate,,,,,,
oqwyV,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABHrdk,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,,,,,,
nFMFP,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABcfXx,C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.[Br-].[Br-],3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium dibromide,,,,,,
MYvTJ,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABKaIq,Cn1cc[n+](CC(Br)CN=[N+]=[N-])c1.[Br-],1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,,,,,,
NiCPn,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABKaWV,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.[Br-],1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,,,,,,
wEkhO,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABHrQg,Cn1cc[n+](CC(Br)CN=[N+]=[N-])c1.N#C[N-]C#N,1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,,,,,,
dCuFS,Fareghi-Alamdari and Hatefipour (2015),Normal melting temperature,Crystal,ABXODD,C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),,,,,,
jPVqF,Faria et al. (2018),Normal melting temperature,Crystal,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,,,,
sqrYE,Faria et al. (2018),Normal melting temperature,Crystal,AAtWMw,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-butyl-3-methylimidazolium hydrogen sulfate,,,,,,
wFWNX,Ferdeghini et al. (2021),Normal melting temperature,Crystal,ADMLut,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(octane-1,8-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
ONJok,Ferdeghini et al. (2021),Normal melting temperature,Crystal,ADGrXB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(hexane-1,6-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
VbdYw,Ferdeghini et al. (2021),Normal melting temperature,Crystal,ADBWaP,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(butane-1,4-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
hrQAg,Fernandez et al. (2007),Normal melting temperature,Crystal,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,
ctYRW,Fernandez et al. (2017),Normal melting temperature,Crystal,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,,,,,,
nRIGd,Fernandez et al. (2017),Normal melting temperature,Crystal,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,,,,
sCQLI,Fernandez et al. (2017),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
JVdsn,Fernandez et al. (2017),Normal melting temperature,Crystal,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,,,,
yeqHA,Fernandez et al. (2017),Normal melting temperature,Crystal,ABEkik,CCCC[P+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylphosphonium chloride,,,,,,
ginQJ,Fernandez et al. (2017),Normal melting temperature,Crystal,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,,,,,,
bqRUm,Fernandez-Martin et al. (1984),Normal melting temperature,Crystal 1,ABpqSB,C(CCCCCCCCCCCCCCCCC)(=O)[O-].[Tl+],thallium(1+) stearate,,,,,,
LgXHF,Fernandez-Martin et al. (1984),Normal melting temperature,Crystal 1,ABkWDV,C(CCCCCCCCCCCCCCC)(=O)[O-].[Tl+],thallium(1+) palmitate,,,,,,
geitp,Ferrara et al. (2017),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
qGypx,Ferreira et al. (2020),Normal melting temperature,Crystal,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,,,,,,
AIgLA,Ferreira et al. (2020),Normal melting temperature,Crystal,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,,,,,,
dXHxL,Fillion et al. (2016),Normal melting temperature,Crystal,AAtNvn,CCCCCC[n+]1ccn(C)c1.c1nc[n-]n1,"1-hexyl-3-methylimidazolium 1,2,4-triazolide",,,,,,
GboCx,Fillion et al. (2016),Normal melting temperature,Crystal,ABBRLn,Cc1n(C)cc[n+]1C1CCCC1.O=[N+]([O-])c1cn[n-]c1,"1-cyclopentyl-2,3-dimethylimidazolium 4-nitropyrazolide",,,,,,
hViPp,Fillion et al. (2016),Normal melting temperature,Crystal,ABwmun,CCCCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.c1c[n-]nn1,"tributyl(octadecyl)phosphonium 1,2,3-triazolide",,,,,,
VrLQj,Fillion et al. (2016),Normal melting temperature,Crystal,ABIiGk,CCCC[P+](CCCC)(CCCC)COC.c1c[n-]nn1,"tributyl(methoxymethyl)phosphonium 1,2,3-triazolide",,,,,,
tfstX,Fillion et al. (2016),Normal melting temperature,Crystal,ABFxXd,CCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,butyltriethylphosphonium 2-methyl-5-nitroimidazolide,,,,,,
Ytnab,Fillion et al. (2016),Normal melting temperature,Crystal,ABDNye,CCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,butyltriethylphosphonium 4-nitropyrazolide,,,,,,
AlKNB,Fillion et al. (2016),Normal melting temperature,Crystal,ABLSow,CCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethylheptylphosphonium 4-nitropyrazolide,,,,,,
uhlEK,Fillion et al. (2016),Normal melting temperature,Crystal,ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,,,,
pCCew,Fillion et al. (2016),Normal melting temperature,Crystal,ABQmMl,CCCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethylnonylphosphonium 4-nitropyrazolide,,,,,,
tvwlx,Fillion et al. (2016),Normal melting temperature,Crystal,ABTXlU,CCCCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,decyltriethylphosphonium 4-nitropyrazolide,,,,,,
GQONV,Fillion et al. (2016),Normal melting temperature,Crystal,ABOCDK,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1c[n-]cn1,triethyloctylphosphonium 4-nitroimidazolide,,,,,,
vuIgQ,Fillion et al. (2016),Normal melting temperature,Crystal,ABFeXE,CCCCCCCC[P+](CC)(CC)CC.c1c[n-]nn1,"triethyloctylphosphonium 1,2,3-triazolide",,,,,,
VCUrX,Fillion et al. (2016),Normal melting temperature,Crystal,AAwwky,CCCCCC[N+](CC)(CC)CC.c1c[n-]nn1,"triethylhexylammonium 1,2,3-triazolide",,,,,,
Lqrwt,Fillion et al. (2016),Normal melting temperature,Crystal,AAzggH,CCCCCCC[N+](CC)(CC)CC.c1c[n-]nn1,"triethylheptylammonium 1,2,3-triazolide",,,,,,
fYOzD,Fillion et al. (2016),Normal melting temperature,Crystal,ABAxRb,CC[P+](CC)(CC)COCCOC.c1c[n-]nn1,"triethyl((2-methoxyethoxy)methyl)phosphonium 1,2,3-triazolide",,,,,,
yPQMs,Fillion et al. (2016),Normal melting temperature,Crystal,AAsYXk,CC[P+](CC)(CC)COC.c1c[n-]nn1,"triethyl(methoxymethyl)phosphonium 1,2,3-triazolide",,,,,,
XXSWE,Fillion et al. (2016),Normal melting temperature,Crystal,AAvJGz,CCOC[P+](CC)(CC)CC.c1c[n-]nn1,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide",,,,,,
kFEPO,Fillion et al. (2016),Normal melting temperature,Crystal,ABJVqX,CC[P+](CC)(CC)COCCOC.O=[N+]([O-])c1cn[n-]c1,triethyl((2-methoxyethoxy)methyl)phosphonium 4-nitropyrazolide,,,,,,
KkDuB,Fillion et al. (2016),Normal melting temperature,Crystal,ABFdgc,CC[P+](CC)(CC)C1CCCC1.O=[N+]([O-])c1cn[n-]c1,cyclopentyltriethylphosphonium 4-nitropyrazolide,,,,,,
bBvPr,Fillion et al. (2016),Normal melting temperature,Crystal,ABCtHH,CCC=C[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,,,,,,
PUqZw,Fillion et al. (2016),Normal melting temperature,Crystal,ABjJYp,CCC=C[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,(buten-1-yl)triethylphosphonium bis(trifluoromethylsulfonyl)amide,,,,,,
SRbEw,Fillion et al. (2016),Normal melting temperature,Crystal,ABgaoQ,CCCC[S+]1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylthianium bis(trifluoromethylsulfonyl)imide,,,,,,
mIEon,Fillion et al. (2016),Normal melting temperature,Crystal,ABBlsi,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])c1cn[n-]c1,1-hexyl-3-methylimidazolium 4-nitropyrazolide,,,,,,
uJiNd,Fischer et al. (2005),Normal melting temperature,Crystal,AAqbbL,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[N-][N+](=O)[O-],"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",,,,,,
umqTw,Fischer et al. (2005),Normal melting temperature,Crystal,AAiXtN,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[O-],"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate",,,,,,
tvxtm,Flaherty and Stern (1958),Normal melting temperature,Crystal,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,,,,
rfmgG,Fletcher et al. (2010),Normal melting temperature,Crystal,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
DjCfc,Fletcher et al. (2010),Normal melting temperature,Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
qiMDX,Fox et al. (2003),Normal melting temperature,Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
auIhk,Fredlake et al. (2004),Normal melting temperature,Crystal,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,,,
YsuSe,Fredlake et al. (2004),Normal melting temperature,Crystal,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,,,
DQShK,Fredlake et al. (2004),Normal melting temperature,Crystal,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
yAmQS,Fredlake et al. (2004),Normal melting temperature,Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
ZgTMd,Fredlake et al. (2004),Normal melting temperature,Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
xMjsO,Fredlake et al. (2004),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
Uwlgc,Fredlake et al. (2004),Normal melting temperature,Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
NJBWm,Fukaya et al. (2007),Normal melting temperature,Crystal,AAiYkh,C[N+](C)(C)CCO.O=C([O-])CO,choline glycolate,,,,,,
hqRrn,Fukaya et al. (2007),Normal melting temperature,Crystal,AArQBJ,C[N+](C)(C)CCO.O=C([O-])c1ccccc1,choline benzoate,,,,,,
vtyFS,Funasako et al. (2012),Normal melting temperature,Crystal,ABuJUW,CCCCCC[c-]1c(C)c(C)c(C)c1C.Cc1[cH-]c(C)c(C)c1C.N#C[C](C#N)[C-](C#N)C#N.[Fe+3],"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide",,,,,,
xDsXo,Funasako et al. (2012),Normal melting temperature,Crystal,ABooYG,N#C[C-](C#N)[C](C#N)C#N.CCCC[c-]1c(C)c(C)c(C)c1C.[cH-]1c(C)c(C)c(C)c1C.[Fe+3],"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide",,,,,,
WGOah,Funasako et al. (2012),Normal melting temperature,Crystal,ACXVnp,CCCCCC[c-]1c(C)c(C)c(C)c1C.Cc1[cH-]c(C)c(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Fe+3],"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",,,,,,
ONxQG,Funasako et al. (2012),Normal melting temperature,Crystal,ACSApU,CCCC[c-]1c(C)c(C)c(C)c1C.Cc1[cH-]c(C)c(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Fe+3],"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",,,,,,
Zficm,Galvez-Ruiz et al. (2005),Normal melting temperature,Crystal,AAqbbL,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[N-][N+](=O)[O-],"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",,,,,,
qytow,Galvez-Ruiz et al. (2005),Normal melting temperature,Crystal,AAiXtN,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[O-],"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate",,,,,,
cKxFB,Galvez-Ruiz et al. (2005),Normal melting temperature,Crystal,AAmdRF,Nc1[nH]nn[n+]1N.[O-]Cl(=O)(=O)=O,"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate",,,,,,
SBmqN,Gao et al. (2004),Normal melting temperature,Crystal,AAsESv,CN(C)C(=[NH2+])N(C)C.O=C([O-])C(F)(F)F,"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate",,,,,,
noLIx,Gao et al. (2004),Normal melting temperature,Crystal,AAzAtb,CN(C)C(=[NH2+])N(C)C.O=S(=O)([O-])C(F)(F)F,"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate",,,,,,
DPKQN,Gao et al. (2004),Normal melting temperature,Crystal,AAfAmO,CN(C)C(=[NH2+])N(C)C.O=C[O-],"1,1,3,3-tetramethylguanidinium formate",,,,,,
lTQVb,Gao et al. (2004),Normal melting temperature,Crystal,AAnYOh,CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium lactate",,,,,,
bqXfQ,Garcia-Andreu et al. (2016),Normal melting temperature,Crystal 1,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,,,,,,
OqSPZ,Gardas et al. (2010b),Normal melting temperature,Crystal,ABULCf,CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium L-valinate,,,,,,
TGCjI,Gomez et al. (2013),Normal melting temperature,Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
CUfzy,Gomez et al. (2013),Normal melting temperature,Crystal,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
tirtf,Gomez et al. (2013),Normal melting temperature,Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
XWqBm,Gomez et al. (2013),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
GRSKk,Gomez et al. (2018b),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
logbl,Gomez et al. (2018b),Normal melting temperature,Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
hgdQh,Gomez et al. (2018b),Normal melting temperature,Crystal 1,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
CTqEd,Gomez et al. (2018b),Normal melting temperature,Metastable crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ldfir,Gomez et al. (2020),Normal melting temperature,Crystal,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
hYrGg,Gomez et al. (2020),Normal melting temperature,Crystal,ABcDyj,CCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
uwzmZ,Gomez et al. (2020),Normal melting temperature,Crystal,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
PCfQn,Gomez et al. (2020),Normal melting temperature,Crystal,ABcDsh,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
oYJRq,Gomez et al. (2020),Normal melting temperature,Crystal,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
YTKpI,Gomez et al. (2020),Normal melting temperature,Crystal,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
PSZnY,Gonzalez and Gonzalez (2014),Normal melting temperature,Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
NfLJP,Gonzalez et al. (2011c),Normal melting temperature,Crystal,AArlcj,CC[N+](C)(CC)CC.COS(=O)(=O)[O-],"N,N-diethyl-N-methylethanaminium methyl sulfate",,,,,,
TJOtX,Gonzalez et al. (2011c),Normal melting temperature,Crystal,ABCGmQ,CCCC[N+]1(CC)CCCC1.CCOS(=O)(=O)[O-],1-butyl-1-ethylpyrrolidinium ethyl sulfate,,,,,,
ROWra,Gonzalez et al. (2011c),Normal melting temperature,Crystal,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,,,,
vQFcG,Govinda et al. (2011b),Normal melting temperature,Crystal,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,,,,
FOjcM,Govinda et al. (2013a),Normal melting temperature,Crystal,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,,,
mWLoI,Govinda et al. (2013a),Normal melting temperature,Crystal,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,,,,
Qmnvn,Greaves et al. (2006),Normal melting temperature,Crystal 1,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
ueFKZ,Greaves et al. (2006),Normal melting temperature,Crystal,AAaTxq,O=C([O-])CO.[NH3+]CCO,ethanolammonium glycolate,,,,,,
DksmJ,Greaves et al. (2006),Normal melting temperature,Crystal,AARbsW,CC[NH3+].O=C[O-],ethylammonium formate,,,,,,
hGket,Greaves et al. (2006),Normal melting temperature,Crystal,AAWvVd,CC(C)C[NH3+].O=C[O-],2-methylpropylammonium formate,,,,,,
DEePh,Greaves et al. (2006),Normal melting temperature,Crystal,AAhPdP,COS(=O)(=O)[O-].[NH3+]CCO,ethanolammonium methyl sulfate,,,,,,
Xlgdj,Greaves et al. (2006),Normal melting temperature,Crystal,AAZfkJ,CC(C)CC[NH3+].O=C[O-],3-methylbutylammonium formate,,,,,,
qqzlk,Greaves et al. (2006),Normal melting temperature,Crystal 1,AAZfTw,CCCCC[NH3+].O=C[O-],pentylammonium formate,,,,,,
PJLVX,Greaves et al. (2006),Normal melting temperature,Crystal,AAbbgc,CC[NH3+].O=S(=O)([O-])O,ethylammonium hydrogen sulfate,,,,,,
asulH,Greaves et al. (2006),Normal melting temperature,Crystal 1,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,,,
UxqGp,Greaves et al. (2006),Normal melting temperature,Crystal,AAOqBl,C[NH3+].O=C[O-],methanaminium formate,,,,,,
CjpEi,Greaves et al. (2006),Normal melting temperature,Crystal,AAXsWN,O=[N+]([O-])[O-].[NH3+]CCO,ethanolammonium nitrate,,,,,,
