setid,reference,propertiy,phases,compound id 1,compound id 2,compound id 3,np,compound name 1,compound name 2,compound name 3
gRnrX,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,AAtejH,,48,methanol,1-butyl-3-methylpyridinium tetrafluoroborate,
Klamb,Garcia-Mardones et al. (2012b),Density,Liquid,AAGIBL,AAquMR,,48,methanol,1-butylpyridinium tetrafluoroborate,
KupTv,Garcia-Mardones et al. (2012b),Density,Liquid,AAIsrh,AAtejH,,48,ethanol,1-butyl-3-methylpyridinium tetrafluoroborate,
qhEbI,Garcia-Mardones et al. (2012b),Density,Liquid,AAIsrh,AAtevY,,48,ethanol,1-butyl-4-methylpyridinium tetrafluoroborate,
DqKhT,Jalili et al. (2017),Density,Liquid,AAIYzl,ABiCtA,,48,carbon dioxide,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
gIaqa,Jin and Chen (2012),Density,Liquid,AAihiT,AADYJk,AArYBF,48,D-glucose,water,1-butyl-3-methylimidazolium tetrafluoroborate
IgZOk,Keshapolla et al. (2015),Density,Liquid,AAIsrh,AAoMxN,,48,ethanol,benzyldimethylammonium propionate,
WOnVs,Keshapolla et al. (2015),Density,Liquid,AADYJk,AAoMxN,,48,water,benzyldimethylammonium propionate,
LLbkO,Khan et al. (2017c),Density,Liquid,ABSElq,AAIsrh,AAmbQR,48,"N,N,N-trimethyl-1-hexadecanaminium bromide",ethanol,dodecanoic acid
CPxqN,Klomfar et al. (2012a),Density,Liquid,ABIrWy,,,48,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,
vuEdl,Nordness et al. (2021),Density,Liquid,AAcjhv,AArFGw,,48,triethanolamine,1-ethyl-3-methylimidazolium trifluoroacetate,
dPboj,Nordness et al. (2021),Density,Liquid,AARkmK,AArFGw,,48,glycerol,1-ethyl-3-methylimidazolium trifluoroacetate,
EFvLB,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,AAOWgA,ABDWVo,48,water,2-aminoacetic acid,1-butyl-3-methylimidazolium trifluoromethanesulfonate
CuoNu,Patil et al. (2016),Density,Liquid,ABSElq,AADYJk,,48,"N,N,N-trimethyl-1-hexadecanaminium bromide",water,
WEomR,Quijada et al. (2012),Density,Liquid,AADYJk,AAiEIE,,48,water,1-ethyl-3-methylimidazolium dicyanamide,
rSlAb,Quijada et al. (2012),Density,Liquid,AAIsrh,AAiEIE,,48,ethanol,1-ethyl-3-methylimidazolium dicyanamide,
eZdqw,Quijada et al. (2012),Density,Liquid,AAIsrh,AAgmaR,,48,ethanol,1-ethyl-3-methylimidazolium acetate,
iNZVM,Quijada et al. (2012),Density,Liquid,AADYJk,AAgmaR,,48,water,1-ethyl-3-methylimidazolium acetate,
PyrxJ,Rilo et al. (2012b),Density,Liquid,AADYJk,AAyrXy,,48,water,3-ethyl-1-methylimidazolium butyl sulfate,
cXqwO,Rilo et al. (2012b),Density,Liquid,AAIsrh,AAyrXy,,48,ethanol,3-ethyl-1-methylimidazolium butyl sulfate,
VFiTx,Rilo et al. (2012b),Density,Liquid,AAIsrh,AAtWDT,,48,ethanol,1-ethyl-3-methylimidazolium ethyl sulfate,
DUgMp,Sadeghi and Mahdavi (2012),Density,Liquid,AADYJk,AAeBId,AAmzKp,48,water,potassium 3-methoxy-3-oxopropanoate,1-hexyl-3-methylimidazolium chloride
axIwW,Safarov et al. (2017a),Density,Liquid,ACISwI,,,48,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,
JvUns,Saien and Kharazi (2016),Density,Liquid mixture 1;Liquid mixture 2,ABNxgy,AAWRvN,AADYJk,48,1-hexadecyl-3-methylimidazolium chloride,butyl ethanoate,water
TlOVd,Saien and Kharazi (2016),Density,Liquid mixture 2;Liquid mixture 1,AAWRvN,AADYJk,ABWagJ,48,butyl ethanoate,water,1-hexadecyl-3-methylimidazolium bromide
VvKxp,Saien and Kharazi (2016),Density,Liquid mixture 1;Liquid mixture 2,AAWRvN,AADYJk,ABWagJ,48,butyl ethanoate,water,1-hexadecyl-3-methylimidazolium bromide
Ppizt,Saien and Kharazi (2016),Density,Liquid mixture 1;Liquid mixture 2,AAWRvN,AADYJk,ABRFaF,48,butyl ethanoate,water,1-methyl-3-tetradecylimidazolium bromide
taeOb,Saien and Kharazi (2016),Density,Liquid mixture 2;Liquid mixture 1,ABNxgy,AAWRvN,AADYJk,48,1-hexadecyl-3-methylimidazolium chloride,butyl ethanoate,water
zIejJ,Saien and Kharazi (2016),Density,Liquid mixture 2;Liquid mixture 1,AAWRvN,AADYJk,ABRFaF,48,butyl ethanoate,water,1-methyl-3-tetradecylimidazolium bromide
DAIme,Saien and Kharazi (2016),Density,Liquid mixture 1;Liquid mixture 2,ABIdNl,AAWRvN,AADYJk,48,1-methyl-3-tetradecylimidazolium chloride,butyl ethanoate,water
pGFBE,Saien and Kharazi (2016),Density,Liquid mixture 2;Liquid mixture 1,ABIdNl,AAWRvN,AADYJk,48,1-methyl-3-tetradecylimidazolium chloride,butyl ethanoate,water
MFqCn,Saien and Kharazi (2016),Density,Liquid mixture 1;Liquid mixture 2,AAWRvN,AADYJk,ABDIXm,48,butyl ethanoate,water,1-dodecyl-3-methylimidazolium chloride
eCSSj,Saien and Kharazi (2016),Density,Liquid mixture 2;Liquid mixture 1,AAWRvN,AADYJk,ABDIXm,48,butyl ethanoate,water,1-dodecyl-3-methylimidazolium chloride
RvVZm,Saien et al. (2015b),Density,Liquid mixture 2;Liquid mixture 1,ABNxgy,AAWRvN,AADYJk,48,1-hexadecyl-3-methylimidazolium chloride,butyl ethanoate,water
JRdnB,Saien et al. (2015b),Density,Liquid mixture 1;Liquid mixture 2,ABNxgy,AAWRvN,AADYJk,48,1-hexadecyl-3-methylimidazolium chloride,butyl ethanoate,water
khtoN,Saien et al. (2015b),Density,Liquid mixture 2;Liquid mixture 1,ABIdNl,AAWRvN,AADYJk,48,1-methyl-3-tetradecylimidazolium chloride,butyl ethanoate,water
ODXVL,Saien et al. (2015b),Density,Liquid mixture 1;Liquid mixture 2,ABIdNl,AAWRvN,AADYJk,48,1-methyl-3-tetradecylimidazolium chloride,butyl ethanoate,water
SvrHM,Saien et al. (2015b),Density,Liquid mixture 2;Liquid mixture 1,ABDIXm,AAWRvN,AADYJk,48,1-dodecyl-3-methylimidazolium chloride,butyl ethanoate,water
DlIkB,Saien et al. (2015b),Density,Liquid mixture 1;Liquid mixture 2,ABDIXm,AAWRvN,AADYJk,48,1-dodecyl-3-methylimidazolium chloride,butyl ethanoate,water
DidcB,Salinas et al. (2015),Density,Liquid,AAIsrh,ABchwx,,48,ethanol,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
LvZby,Salinas et al. (2015),Density,Liquid,AAIsrh,ABiCtA,,48,ethanol,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
sCxPm,Salinas et al. (2015),Density,Liquid,AAIsrh,ABXNZH,,48,ethanol,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
LSjYZ,Sandhya et al. (2016),Density,Liquid,AALcLI,AAqmVN,,48,propan-1-ol,1-ethyl-3-methylimidazolium methyl sulfate,
QZmvz,Sandhya et al. (2016),Density,Liquid,AAONVE,AAqmVN,,48,butan-1-ol,1-ethyl-3-methylimidazolium methyl sulfate,
wclch,Sandhya et al. (2016),Density,Liquid,AAQxal,AAqmVN,,48,pentan-1-ol,1-ethyl-3-methylimidazolium methyl sulfate,
yaFNf,Sandhya et al. (2016),Density,Liquid,AAThYT,AAqmVN,,48,hexan-1-ol,1-ethyl-3-methylimidazolium methyl sulfate,
gvsAi,Sastry et al. (2013),Density,Liquid,AADYJk,AAzJkz,,48,water,1-butyl-3-methylimidazolium iodide,
yCRKZ,Shaikh et al. (2021),Density,Liquid,ABEHOj,AADYJk,,48,"N,N,N-trimethyl-1-tetradecanaminium chloride",water,
COBEq,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,AADYJk,,48,ethylhexadecyldimethylammonium bromide,water,
PMOVD,Shekaari and Jebali (2010a),Density,Liquid,AAWbiv,AADYJk,AAvbcc,48,L-valine,water,1-hexyl-3-methyl-1H-imidazolium bromide
QwWcY,Shekaari et al. (2015c),Density,Liquid,AADYJk,AAherF,,48,water,1-butyl-3-methylimidazolium chloride,
BMGIQ,Shekaari et al. (2016a),Density,Liquid,AAQJSl,AAvbcc,,48,thiophene,1-hexyl-3-methyl-1H-imidazolium bromide,
FdKkk,Shekaari et al. (2016a),Density,Liquid,AAQJSl,ABAwEw,,48,thiophene,1-methyl-3-octylimidazolium bromide,
BOocg,Singh and Kumar (2010),Density,Liquid,AAqmFh,ABChJv,,48,"2,5,8,11,14-pentaoxapentadecane",1-butyl-3-methylimidazolium hexafluorophosphate,
BjFGQ,Singh and Kumar (2010),Density,Liquid,AAiOSe,ABChJv,,48,"2,5,8,11-tetraoxadodecane",1-butyl-3-methylimidazolium hexafluorophosphate,
yaLLd,Singh et al. (2013),Density,Liquid,AALcwx,AAwHNg,,48,propan-2-ol,1-butyl-3-methylimidazolium methyl sulfate,
HMCCb,Thakur et al. (2023),Density,Liquid,AApmOO,AATgdC,AADYJk,48,tetraethylammonium tetrafluoroborate,propylene carbonate,water
heCAS,Tomida et al. (2011),Density,Liquid,AAIYzl,ABNWoR,,48,carbon dioxide,1-octyl-3-methylimidazolium hexafluorophosphate,
aZEHY,Zec et al. (2018a),Density,Liquid,AADYJk,ABDgjI,,48,water,1-ethyl-3-octyl-1H-imidazolium bromide,
NKSfo,Zhong et al. (2007),Density,Liquid,AAUVMY,ABChJv,,48,benzaldehyde,1-butyl-3-methylimidazolium hexafluorophosphate,
FXNvd,Zhong et al. (2007),Density,Liquid,AAUpwm,ABChJv,,48,benzenemethanol,1-butyl-3-methylimidazolium hexafluorophosphate,
HgsVJ,Seoane et al. (2012c),Density,Liquid,AAIsrh,AATOnt,ABchwx,47,ethanol,heptane,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
HHyhg,Sonawane and Kumar (2004),Density,Liquid,AAUpuK,ABmZtW,,47,anisole,tetrabutylammonium picrate,
lWjEi,Davila et al. (2007),Density,Liquid,ABPBvB,,,46,1-butyl-3-methylimidazolium octyl sulfate,,
NZLAM,Gomez et al. (2008),Density,Liquid,AAIsrh,AADYJk,AAoCnc,46,ethanol,water,"1,3-dimethylimidazolium methylsulfate"
OOEDd,Gonzalez et al. (2008a),Density,Liquid,AAIsrh,AADYJk,AAwHNg,46,ethanol,water,1-butyl-3-methylimidazolium methyl sulfate
TUDWK,Jalili et al. (2022),Density,Liquid,AAIYzl,ABjJPt,,46,carbon dioxide,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,
hltDC,Shekaari and Jebali (2010a),Density,Liquid,AAOWgA,AADYJk,AAvbcc,46,2-aminoacetic acid,water,1-hexyl-3-methyl-1H-imidazolium bromide
MnfLx,Shekaari and Jebali (2010b),Density,Liquid,AAOWgA,AADYJk,AAqHiH,46,2-aminoacetic acid,water,1-butyl-3-methylimidazolium bromide
YQLIL,Abdulagatov et al. (2008a),Density,Liquid,AArYBF,,,45,1-butyl-3-methylimidazolium tetrafluoroborate,,
cYFJA,Bagany et al. (2021),Density,Liquid,AAkiPK,AADYJk,,45,1-(2-carboxyethyl)-3-methylimidazolium chloride,water,
EdOwR,Bhujrajh and Deenadayalu (2007),Density,Liquid,AADYJk,ABHjxw,,45,water,1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,
jlgdz,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,ABHjxw,,45,methanol,1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,
ZxeJg,Calvar et al. (2012c),Density,Liquid,AALcLI,AAnYjG,,45,propan-1-ol,1-butyl-3-methylimidazolium dicyanamide,
EaYNK,Calvar et al. (2012c),Density,Liquid,AALcwx,AAnYjG,,45,propan-2-ol,1-butyl-3-methylimidazolium dicyanamide,
snsjV,Calvar et al. (2012c),Density,Liquid,AAONVE,AAnYjG,,45,butan-1-ol,1-butyl-3-methylimidazolium dicyanamide,
hVkDD,Calvar et al. (2012c),Density,Liquid,AAQxal,AAnYjG,,45,pentan-1-ol,1-butyl-3-methylimidazolium dicyanamide,
hAGWv,Cumicheo et al. (2015),Density,Liquid,AADYJk,AAoDPb,,45,water,1-butyl-1-methylpyrrolidinium dicyanamide,
IHlsN,Domanska and Krolikowska (2010b),Density,Liquid,AAONVE,AAlxZE,,45,butan-1-ol,1-butyl-3-methylimidazolium thiocyanate,
DBncX,Domanska and Krolikowska (2010b),Density,Liquid,AAQxal,AAlxZE,,45,pentan-1-ol,1-butyl-3-methylimidazolium thiocyanate,
ZpoVx,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,ABabds,AAPByN,45,lithium bis((trifluoromethyl)sulfonyl)amide,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,dimethyl sulfoxide
YHyaZ,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,ABabds,AAQcgW,45,lithium bis((trifluoromethyl)sulfonyl)amide,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,.gamma.-butyrolactone
vkBkk,Geppert-Rybczynska et al. (2010a),Density,Liquid,AAHueB,ABchwx,,45,acetonitrile,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
XeMkU,Geppert-Rybczynska et al. (2010a),Density,Liquid,AAPByN,ABXNZH,,45,dimethyl sulfoxide,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
VSsAr,Geppert-Rybczynska et al. (2010a),Density,Liquid,AAHueB,ABXNZH,,45,acetonitrile,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
dTCaE,Gonzalez et al. (2006),Density,Liquid,AAGIBL,AAsTjr,,45,methanol,1-methyl-3-octylimidazolium chloride,
HfXeL,Gonzalez et al. (2012b),Density,Liquid,AADYJk,AAnYKa,,45,water,1-methylpyridinium methylsulfate,
dtoym,Hong et al. (2013a),Density,Liquid,AADYJk,AAufur,,45,water,1-pentyl-3-methylimidazolium lactate,
ANKWy,Hong et al. (2013a),Density,Liquid,AADYJk,AAmaPc,,45,water,1-ethyl-3-methylimidazolium lactate,
wpzpl,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,AAOWgA,AADYJk,45,"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",2-aminoacetic acid,water
Wwako,Kermanpour and Sharifi (2012),Density,Liquid,AALcLI,AAwscj,,45,propan-1-ol,1-hexyl-3-methylimidazolium tetrafluoroborate,
XmYbc,Kodama et al. (2018),Density,Liquid,ABChJv,ABchwx,AAIYzl,45,1-butyl-3-methylimidazolium hexafluorophosphate,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,carbon dioxide
ghEwu,Kumar et al. (2008),Density,Liquid,AAOgvx,ABChJv,,45,2-methoxyethan-1-ol,1-butyl-3-methylimidazolium hexafluorophosphate,
QtXlr,Matsumoto et al. (2017a),Density,Liquid,AAjyTc,ABEAsp,,45,lithium bis(fluorosulfonyl)imide,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,
Fgpnv,Mishra et al. (2024),Density,Liquid,ABDKGa,ABYLZx,AADYJk,45,lithium bis((trifluoromethyl)sulfonyl)amide,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,water
EpHdx,Mishra et al. (2024),Density,Liquid,ABDKGa,ABdMNo,AADYJk,45,lithium bis((trifluoromethyl)sulfonyl)amide,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,water
rqOaG,Pan et al. (2017a),Density,Liquid,AAqcec,AADYJk,,45,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,water,
gZbnF,Pan et al. (2018),Density,Liquid,AApKhv,AADYJk,,45,1-ethyl-3-(2-methoxyethyl)imidazolium acetate,water,
WBAmt,Pan et al. (2018),Density,Liquid,ABGawV,AADYJk,,45,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,water,
LdCGv,Pan et al. (2018),Density,Liquid,AApAEZ,AADYJk,,45,1-ethyl-3-(2-methoxyethyl)imidazolium thiocyanate,water,
CKufm,Qian et al. (2012),Density,Liquid,AADYJk,AAbRuq,,45,water,1-methylimidazolium acetate,
XzMay,Qian et al. (2012),Density,Liquid,AAONVE,AAbRuq,,45,butan-1-ol,1-methylimidazolium acetate,
VkVbB,Qian et al. (2012),Density,Liquid,AALcLI,AAbRuq,,45,propan-1-ol,1-methylimidazolium acetate,
RMPrx,Qian et al. (2012),Density,Liquid,AAIsrh,AAbRuq,,45,ethanol,1-methylimidazolium acetate,
mCfiP,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,AAQxSq,,45,"1,1-dimethyl-4-phenylpiperazinium iodide",ethyl acetate,
MneDL,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,AADYJk,,45,"2-chloro-N,N,N-trimethylethanaminium chloride",water,
BNPuU,Shekaari and Jebali (2010c),Density,Liquid,AAWbiv,AADYJk,AAnWVs,45,L-valine,water,1-methyl-3-propylimidazolium bromide
KGZhd,Shekaari and Jebali (2011),Density,Liquid,AAWbiv,AADYJk,AAmzKp,45,L-valine,water,1-hexyl-3-methylimidazolium chloride
vOUmH,Singh and Kumar (2010),Density,Liquid,AAfegG,ABChJv,,45,2-[2-(2-methoxyethoxy)ethoxy]ethanol,1-butyl-3-methylimidazolium hexafluorophosphate,
tOuIL,Singh and Kumar (2010),Density,Liquid,AAXFpT,ABChJv,,45,2-(2-methoxyethoxy)ethanol,1-butyl-3-methylimidazolium hexafluorophosphate,
SabSx,Tekin et al. (2007),Density,Liquid,ABChJv,,,45,1-butyl-3-methylimidazolium hexafluorophosphate,,
pIAkX,Tekin et al. (2007),Density,Liquid,AArYBF,,,45,1-butyl-3-methylimidazolium tetrafluoroborate,,
QZYKz,Trenzado et al. (2018),Density,Liquid,AArYBF,AAXFpT,,45,1-butyl-3-methylimidazolium tetrafluoroborate,2-(2-methoxyethoxy)ethanol,
ypAeg,Wang et al. (2023a),Density,Liquid,AAdLRX,AATgdC,AAUBWU,45,lithium hexafluorophosphate,propylene carbonate,ethyl methyl carbonate
BBdfe,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,ABcDLM,,45,toluene,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,
lnDtc,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,ABdMNo,,45,toluene,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,
PrONH,Wei et al. (2015a),Density,Liquid,AADYJk,AAupHc,,45,water,1-butyl-3-methylimidazolium L-serinate,
nveqa,Wei et al. (2015a),Density,Liquid,AADYJk,AAsEKs,,45,water,1-methyl-3-propylimidazolium L-serinate,
ruSDD,Xu (2013),Density,Liquid,AADYJk,AAaJgU,,45,water,n-butylammonium nitrate,
luFsl,Xu and Wang (2018),Density,Liquid,AArYBF,AADYJk,,45,1-butyl-3-methylimidazolium tetrafluoroborate,water,
gfTpI,Yin et al. (2017),Density,Liquid,AArYBF,AAWveB,,45,1-butyl-3-methylimidazolium tetrafluoroborate,N-methyldiethanolamine,
ZDidr,Yusoff et al. (2013),Density,Liquid,AAWveB,AADYJk,AArYBF,45,N-methyldiethanolamine,water,1-butyl-3-methylimidazolium tetrafluoroborate
efyqA,Yusoff et al. (2013),Density,Liquid,AAWveB,AADYJk,AAnYjG,45,N-methyldiethanolamine,water,1-butyl-3-methylimidazolium dicyanamide
oEviv,Zafarani-Moattar and Shekaari (2005a),Density,Liquid,AADYJk,AAqHiH,,45,water,1-butyl-3-methylimidazolium bromide,
hxvRx,Zhang et al. (2017e),Density,Liquid,ABCtwq,AADYJk,,45,1-hexyl-3-methylimidazolium DL-threoninate,water,
HzHrS,Zhang et al. (2017e),Density,Liquid,ABAJtl,AADYJk,,45,1-pentyl-3-methylimidazolium DL-threoninate,water,
pjHzp,Zhang et al. (2017e),Density,Liquid,AADYJk,AAupRm,,45,water,1-propyl-3-methylimidazolium DL-threoninate,
oWhtC,Zhao et al. (2021b),Density,Liquid,AAxZXm,AADYJk,,45,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,water,
tQmcD,Zhao et al. (2021b),Density,Liquid,AAupbB,AADYJk,,45,1-(4-methoxybutyl)-3-methylimidazolium glycinate,water,
QWHCu,Zhao et al. (2021b),Density,Liquid,ABDNsG,AADYJk,,45,1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,water,
zlCRe,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AAIHRm,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,lithium chloride
rzrIz,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AALMbY,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,sodium chloride
YRZWR,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AAORlg,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,potassium chloride
PbxkO,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AAKOQZ,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,ammonium chloride (NH4Cl)
HXAnp,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AAIDee,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,sodium fluoride
LgvvG,Alam and Siddiq (2017),Density,Liquid,ACueYW,AADYJk,AAToTh,44,"N1,N6-dihexadecyl-N1,N1,N6,N6-tetramethylhexane-1,6-diaminium bromide",water,sodium bromide
NeVsM,Bhanuprakash et al. (2016),Density,Liquid,AALcAl,AAqmVN,,44,acetic acid,1-ethyl-3-methylimidazolium methyl sulfate,
jeqPN,Bhanuprakash et al. (2016),Density,Liquid,AAOMRa,AAqmVN,,44,propanoic acid,1-ethyl-3-methylimidazolium methyl sulfate,
ientr,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,AAIsrh,,44,1-ethyl-3-methylimidazolium hydrogen sulfate,ethanol,
hDKyl,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,AALcLI,,44,1-ethyl-3-methylimidazolium hydrogen sulfate,propan-1-ol,
ZSNMF,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,AAPByN,,44,1-ethyl-3-methylimidazolium hydrogen sulfate,dimethyl sulfoxide,
LElgE,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,AANPWF,,44,1-butyl-3-methylimidazolium methyl sulfate,butanenitrile,
srecj,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,AAKeXb,,44,1-butyl-3-methylimidazolium methyl sulfate,propanenitrile,
iXFVo,Bhanuprakash et al. (2020),Density,Liquid,AAwHNg,AAHueB,,44,1-butyl-3-methylimidazolium methyl sulfate,acetonitrile,
eosBL,Corderi and Gonzalez (2012),Density,Liquid,AAIsrh,AAQdzy,ABenCa,44,ethanol,hexane,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide
pnqiZ,Devi et al. (2024),Density,Liquid,AAqHiH,AAUBtI,,44,1-butyl-3-methylimidazolium bromide,2-propoxyethanol,
oiOlc,Devi et al. (2024),Density,Liquid,AAqHiH,AAOgvx,,44,1-butyl-3-methylimidazolium bromide,2-methoxyethan-1-ol,
rgSjJ,Devi et al. (2024),Density,Liquid,AAqHiH,AARRPu,,44,1-butyl-3-methylimidazolium bromide,2-ethoxyethan-1-ol,
OYbLF,Devi et al. (2024),Density,Liquid,AAqHiH,AAWlvl,,44,1-butyl-3-methylimidazolium bromide,2-butoxyethan-1-ol,
UlYmH,Dozic et al. (2016),Density,Liquid,AADYJk,AAsrvt,,44,water,1-butyl-3-ethylimidazolium bromide,
QtLIB,Fan et al. (2016a),Density,Liquid,AAQngv,AAmDom,,44,"N,N-dimethylethanamide",1-ethyl-3-methylimidazolium tetrafluoroborate,
SKdBu,Fan et al. (2016a),Density,Liquid,AAOCWD,AAmDom,,44,dimethylformamide,1-ethyl-3-methylimidazolium tetrafluoroborate,
DzvFI,Fan et al. (2016a),Density,Liquid,AAPByN,AAmDom,,44,dimethyl sulfoxide,1-ethyl-3-methylimidazolium tetrafluoroborate,
tdbRx,Fan et al. (2016b),Density,Liquid,AAmDom,AAGIBL,,44,1-ethyl-3-methylimidazolium tetrafluoroborate,methanol,
jHRQU,Fan et al. (2016b),Density,Liquid,AAmDom,AALwIY,,44,1-ethyl-3-methylimidazolium tetrafluoroborate,"1,2-ethanediol",
JRYkp,Fan et al. (2016b),Density,Liquid,AAmDom,AAHueB,,44,1-ethyl-3-methylimidazolium tetrafluoroborate,acetonitrile,
eyBHW,Garca-Garabal et al. (2022),Density,Liquid,ABabds,AAQcgW,,44,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,.gamma.-butyrolactone,
lvdhc,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,AAquMR,,44,methanol,1-butylpyridinium tetrafluoroborate,
OAohP,Geppert-Rybczynska et al. (2010a),Density,Liquid,AANtst,ABchwx,,44,tetrahydrofuran,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
fiGMC,Geppert-Rybczynska et al. (2010a),Density,Liquid,AANtst,ABXNZH,,44,tetrahydrofuran,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
VWASh,Gomez et al. (2006a),Density,Liquid,AAIsrh,AADYJk,AAmzKp,44,ethanol,water,1-hexyl-3-methylimidazolium chloride
LlKCI,Gomez et al. (2006b),Density,Liquid,AADYJk,AAsTjr,,44,water,1-methyl-3-octylimidazolium chloride,
VyIWR,Gutierrez et al. (2018),Density,Liquid,AArYBF,AAOCWD,,44,1-butyl-3-methylimidazolium tetrafluoroborate,dimethylformamide,
sIsWr,Gutierrez et al. (2018),Density,Liquid,AArYBF,AALwIY,,44,1-butyl-3-methylimidazolium tetrafluoroborate,"1,2-ethanediol",
nRqGg,Gutierrez et al. (2018),Density,Liquid,AArYBF,AADYJk,,44,1-butyl-3-methylimidazolium tetrafluoroborate,water,
SmopT,Gutierrez et al. (2018),Density,Liquid,AAmDom,AAOCWD,,44,1-ethyl-3-methylimidazolium tetrafluoroborate,dimethylformamide,
PIdaR,Gutierrez et al. (2018),Density,Liquid,AAmDom,AALwIY,,44,1-ethyl-3-methylimidazolium tetrafluoroborate,"1,2-ethanediol",
nayKV,Nordness et al. (2020),Density,Liquid,AAzLBF,AAcjhv,,44,butyltriethylphosphonium 2-cyanopyrrolide,triethanolamine,
TOUku,Nordness et al. (2021),Density,Liquid,AAcjhv,AAtWDT,,44,triethanolamine,1-ethyl-3-methylimidazolium ethyl sulfate,
siOtu,Noshadi and Sadeghi (2017a),Density,Liquid,AAmzKp,AADYJk,,44,1-hexyl-3-methylimidazolium chloride,water,
ZZrJG,Patinha et al. (2015),Density,Liquid,AADYJk,AAqJgN,,44,water,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",
NQPII,Qian et al. (2012),Density,Liquid,AAGIBL,AAbRuq,,44,methanol,1-methylimidazolium acetate,
HXgTg,Raj et al. (2021),Density,Liquid,ABtAhY,AAPByN,,44,1-(2-cyanoethyl)-3[2-(2-methoxyethoxy)ethyl]imidazolium bis((trifluoromethyl)sulfonyl)imide,dimethyl sulfoxide,
