setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GXuwY,295.2,Domanska et al. (2018e),Crystal,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
kzaqg,289.1,Villanueva et al. (2015),Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
yeqTw,283.1,Tokuda et al. (2006b),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
ZeuuT,228.93,Khan et al. (2017d),Crystal,ABbkWb,Cn1cc[n+](CCCC[n+]2ccn(C)c2)c1.O=S(=O)([O-])O.O=S(=O)([O-])O,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) hydrogen sulfate (1:2)",,,,,,
RoXsK,446.8,Zawadzki et al. (2016),Crystal 1,AAwGGR,CCCCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-pentylpiperidinium bromide,,,,,,
vtyuy,290.1,Curnow et al. (2018),Crystal,ABpfbd,[N-](C#N)C#N.c(N(CCCC)CCCC)1c(N(CCCC)CCCC)[c+]1N(CCCC)CCCC,tris(dibutylamino)cyclopropenium dicyanamide,,,,,,
vFPxd,445.9,Zhang et al. (2019a),Crystal,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",,,,,,
vOHNa,377.15,Coker et al. (1970),Crystal 1,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,,,,
rZRBr,396.1,Carignan and Satriana (1967),Crystal,AAlmoM,O=[N+]([O-])[O-].c1ccc2c(c1)CC[NH2+]C2,"3,4-benzo-1-azacyclohexane nitrate",,,,,,
PogYy,284.3,Domanska et al. (2017c),Crystal,ACqwme,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tetraoctylphosphonium bis((trifluoromethyl)sulfonyl)amide,,,,,,
zLxNd,329.3,Domanska and Krolikowski (2011),Crystal,ABPKxB,CCCCCC[n+]1cccc(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,,,,,,
agCbk,292.1,Tokuda et al. (2006b),Crystal,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
ZkcnR,340,Zhang et al. (2006a),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
qAATC,293.1,Papaiconomou et al. (2010),Crystal,ABEMZu,CCCCCCCC[n+]1cc(C)cc(C)c1C.N#C[S-],"2,3,5-trimethyl-1-octylpyridinium thiocyanate",,,,,,
Hsljy,281.1,MacFarlane et al. (2001),Crystal 1,ABfwsF,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
yLJcn,256.7,Wachter et al. (2010),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
epUzB,467.2,Hazrati et al. (2017),Crystal,ABIdNl,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-tetradecylimidazolium chloride,,,,,,
yGfEx,328.4,Burton et al. (2019),Crystal,ACOnbW,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.[Cl-],"3-(2,3-bis(tetradecylthio)propyl)-1-methylimidazolium chloride",,,,,,
eVvci,272.1,Ngo et al. (2000),Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
sPeIt,291.1,Walst et al. (2015),Crystal,AByVQP,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tris(diethylamino)cyclopropenium bis(trifluoromethansulfonyl)amide,,,,,,
TbDGw,277.1,Zhou et al. (2005),Crystal,AAqGQD,CC[N+](C)(C)CCOC.F[B-](F)(F)F,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate",,,,,,
oRFKC,290.1,Moore et al. (2019),Crystal,AGwzVJ,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCCCCCCCCCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,1'-(decane-1,10-diyl)bis(3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)imide",,,,,,
YBmVB,345.1,Sudholter et al. (1982),Crystal 1,ACbbIK,CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C.[I-],4-(1-hexadecylheptadecyl)-1-methylpyridinine hydroiodide,,,,,,
gQpKp,266.52,Krolikowska (2014),Crystal,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,,,,
oDNYO,287.1,Zhou et al. (2005),Crystal 1,ABavdC,CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,,,,
MpiHx,393.1,Kondratenko et al. (2021),Crystal,ABCFoJ,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])C(=O)O,tris(2-hydroxypropyl)ammonium hydrogen oxalate,,,,,,
IPCBs,303.84,Zhu et al. (2009),Crystal,AAlFQf,F[B-](F)(F)F.OCC[NH2+]CCO,diethanolammonium tetrafluoroborate,,,,,,
LeIQs,279.1,Stejfa et al. (2022),Crystal 1,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
CXixY,305.1,Castillo et al. (2021),Crystal,ABypEg,CCCCCCCCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-dodecylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
bBvPr,312,Fillion et al. (2016),Crystal,ABCtHH,CCC=C[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,(buten-1-yl)triethylphosphonium 4-nitropyrazolide,,,,,,
Iybty,323.1,Lethesh et al. (2014),Crystal,AAzWFf,CCCC[N+]1=C2CCCCCN2CCC1.N#C[S-],"1-butyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",,,,,,
TugVx,292.85,Krolikowska (2014),Crystal,AAxXko,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium tetracyanoborate,,,,,,
NxbVN,391.6,Yang and Wang (2010),Crystal,ABuGZK,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)",,,,,,
sXBrZ,398,Meisel et al. (1976),Crystal 1,ABZgNY,C(CCCCCCCCCCC)(=O)[O-].[Tl+],thallium(I) dodecanoate,,,,,,
qPJHb,375.1,Kollau et al. (2019),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
SUsQS,254.2,Brown et al. (2012),Crystal,ACDrEP,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,"1-butyl-3-methyl-1H-imidazolium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",,,,,,
Dacrs,419.2,Krolikowska et al. (2018),Crystal,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,,,,,,
ibXsQ,331.1,De Gaetano et al. (2015),Crystal,ABPpAs,CCCCCCCCCCCCOC(=O)C[N+](C)(C)C.N#C[N-]C#N,"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",,,,,,
czQDv,345.55,Pernak et al. (2012),Crystal,ABJCfv,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])NC1CCCCC1,1-butyl-3-methyl-1H-imidazolium N-cyclohexylsulfamate,,,,,,
ZQeMa,373.8,Zhang et al. (2018i),Crystal,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",,,,,,
kBKPE,412.26,Jia et al. (2015),Crystal,ABPcZP,CCCCC[n+]1csc2ccccc21.F[P-](F)(F)(F)(F)F,N-pentylbenzothiazolium hexafluorophosphate,,,,,,
roFEf,283.5,Domanska et al. (2007b),Crystal 1,ABNZKM,CCCCCCCCCCCOC[N+](C)(C)CCO.N#C[N-]C#N,(2-hydroxyethyl)-dimethylundecyloxymethylammonium dicyanamide,,,,,,
IpZJm,303.9,Sastry and Trivedi (2021),Crystal,ABstNw,CC(=O)Oc1ccccc1C(=O)[O-].CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,1-hexadecyl-1-methylpiperidinium acetylsalicylate,,,,,,
licnO,282.1,Huang et al. (2019b),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
VnDou,348.1,Gu et al. (2004),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
QtUOP,301.3,Bandres et al. (2009c),Crystal,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,,,,
bxGRK,341.1,Xue et al. (2005),Crystal,AAttSX,Cn1c[n+](C)nc1N=[N+]=[N-].[O-]Cl(=O)(=O)=O,"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
hGEFo,394.1,Aljuhani et al. (2018),Crystal,ABHOZi,Cc1ccc[n+](CCCOc2ccccc2)c1.[Br-],3-methyl-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
jragW,289.8,Kasprzak et al. (2018),Crystal,AAkAZT,CC(=O)[O-].CCC[N+]1(C)CCCC1,N-methyl-N-propylpyrrolidinium acetate,,,,,,
fQrmd,279,Kakinuma and Shirota (2019),Crystal,ABwYOR,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide,,,,,,
Ftcdf,345,Vila et al. (2012),Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
mSHRY,292.4,Domanska and Wlazlo (2016),Crystal,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
NAMiP,376,Sintra et al. (2019),Crystal 1,ABButX,CCOC(=O)[C@@H]1CCC[N+]1(CC)CC.[Br-],"(S)-2-(ethoxycarbonyl)-1,1-diethylpyrrolidin-1-ium bromide",,,,,,
RGutw,319.1,Ngo et al. (2000),Crystal,ACAGfi,CC[N+](CC)(CC)CC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,tetraethylammonium tris[(trifluoromethyl)sulfonyl]methide,,,,,,
zxaRQ,262.23,Wachter et al. (2008),Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
sEgey,391.1,Xue et al. (2005),Crystal,AAjzmU,[O-][N+]([O-])=O.CC1=[NH+]C(N=[N+]=[N-])=NN1,"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate",,,,,,
TcnnR,279.2,Melo et al. (2013),Crystal 1,ABYfXZ,CC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,,,,,,
BhRNx,270.1,Katsuta et al. (2010),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
dJVnQ,385.1,Adams et al. (1971),Crystal,AAVODp,F[Ge]F,difluorogermylene,,,,,,
IapOA,279.8,Domanska et al. (2007b),Crystal 1,ABjzZa,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCC.O=C([O-])C(F)(F)F,(2-decanoyloxyethyl)dimethylpentyloxymethylammonium trifluoroacetate,,,,,,
HcFbW,253.5,Musial et al. (2019b),Crystal,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
wKHfN,396.1,Xue et al. (2005),Crystal,AAoZGI,[O-][Cl](=O)(=O)=O.[N-]=[N+]=NC1=NNC=[NH+]1,"3-azido-1H-1,2,4-triazol-1-ium perchlorate",,,,,,
XunTF,362.1,De Gaetano et al. (2015),Crystal,ABTocP,CCCCCCCCCCCCOC(=O)C[N+](C)(C)C.F[B-](F)(F)F,"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",,,,,,
WjvWc,484.47,Zawadzki et al. (2016),Crystal 1,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,,,,
MkvGY,293.95,Mbakidi and Bouquillon (2018),Crystal,ABNBAk,CC1(C)OCC(C[N+](C)(C)Cc2cccnc2)O1.F[B-](F)(F)F,"1-(2,2-dimethyl-1,3-dioxolan-4-yl)-N,N-dimethyl-N-(pyridin-3-ylmethyl)methanaminium tetrafluoroborate",,,,,,
mNMpf,405.4,Abranches et al. (2019),Crystal,AAhARo,CCCC[n+]1ccccc1.[Cl-],1-butylpyridinium chloride,,,,,,
sJIma,272.9,Rodrigues et al. (2016),Crystal,ABdMGT,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,,,,,,
HGnmk,327.1,McMichael and Clement (1961),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
PjvZj,290.45,Domanska et al. (2011e),Crystal,AAxXko,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium tetracyanoborate,,,,,,
SnTQB,270.1,Tokuda et al. (2005),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
UGEyO,338.4,Kawai et al. (2019),Crystal,ABcFtd,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,"N-adamantyl-N,N-dimethyl-N-butylammonium bis(fluorosulfonyl)amide",,,,,,
WlCze,280.1,Walst et al. (2015),Crystal,ABqQxk,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CC)C)1c(N(CC)C)[c+]1N(CC)C,tris(ethylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
kthgK,333,Vila et al. (2012),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
brupd,346.75,Li et al. (2013h),Crystal,ABidZL,CCCCCCCC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,"N,N,N-triethyloctan-1-aminium hexafluorostibate",,,,,,
yGQgG,367.4,Curnow et al. (2020),Crystal,ABnggi,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)N(c1c([c+]1N)N(CC)CC)CC,"1,2-bis(diethylamino)-3-aminocyclopropenium bis(trifluoromethanesulfonyl)amide",,,,,,
HeQox,271.45,Hughes et al. (2011),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
XpLff,350.25,Li et al. (2013h),Crystal,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,,,,,,
VCUrX,333,Fillion et al. (2016),Crystal,AAwwky,CCCCCC[N+](CC)(CC)CC.c1c[n-]nn1,"triethylhexylammonium 1,2,3-triazolide",,,,,,
CVqWz,219.1,Xue and Shreeve (2005),Crystal,AAudfr,O=[N+]([O-])[O-].[N-]=[N+]=NCCN1C=[NH+]C(N=[N+]=[N-])=N1,"3-azido-1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",,,,,,
WHfbZ,371.1,Kondratenko et al. (2021),Crystal,ABvSsT,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CC(O)C(=O)[O-],tris(2-hydroxypropyl)ammonium malate,,,,,,
gAoUw,406.4,Krolikowska et al. (2018),Crystal,AAzdXL,CC(=O)OCC[N+]1(C)CCOCC1.[Br-],N-(2-acetyloxy)ethyl-N-methylmorpholinium bromide,,,,,,
ZuXyW,277.78,Krolikowska (2014),Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
JBWzH,285.15,Zarrougui et al. (2015),Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
pZRYk,230.4,Sintra et al. (2019),Crystal,AAzpRp,COC(=O)[C@@H]1CCC[N+]1(C)C.COS(=O)(=O)[O-],"(S)-2-(methoxycarbonyl)-1,1-dimethylpyrrolidin-1-ium methylsulfate",,,,,,
hHBRB,312.9,Nakamoto and Watanabe (2007),Crystal,AAbbgc,CC[NH3+].O=S(=O)([O-])O,ethylammonium hydrogen sulfate,,,,,,
Fphvg,365.4,Sudholter et al. (1982),Crystal,ABUJyk,CCCCCCCCCCCCc1cc[nH+]cc1.[I-],4-dodecylpyridium iodide,,,,,,
NDzhW,366.15,Mod et al. (1967),Crystal,ABVoVR,CCCCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,octadecanoic acid cyclohexanamine salt (1:1),,,,,,
Hlnad,342.1,Xue et al. (2004),Crystal,AAcONS,Nn1cn[nH+]c1.O=[N+]([O-])[O-],"4-amino-1,2,4-triazolium nitrate",,,,,,
RrNAh,259.1,Yasuda et al. (2013),Crystal,AAygCq,C=CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,"N,N-diethylprop-2-en-1-aminium trifluoromethanesulfonate",,,,,,
hedSm,306.76,Zhu et al. (2009),Crystal,AAcgPC,F[B-](F)(F)F.[NH3+]CCO,2-hydroxyethanaminium tetrafluoroborate,,,,,,
nVStJ,365.8,Okuniewska et al. (2014),Crystal,ABHEeK,Cn1cc[n+](CC#N)c1.N#Cc1nc(C(F)(F)F)[n-]c1C#N,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",,,,,,
pQfMs,341.1,Weiss et al. (2017),Crystal,ACZKKy,CCCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-docosyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
WCDNI,369,Shang et al. (2020),Crystal,ABRsOS,Cc1[nH]cc[nH+]1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
WpXrn,268.1,Parajo et al. (2018),Crystal 1,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,,,,,,
ByKZI,279.1,Rauber et al. (2016),Crystal,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
GcQCc,335.1,Weiss et al. (2017),Crystal,ADUFqy,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium bis(nonafluorobutanesulfonyl)imide,,,,,,
oGqfb,358.79,Jia et al. (2015),Crystal,ABSNTt,CCCCCC[n+]1csc2ccccc21.F[P-](F)(F)(F)(F)F,N-hexylbenzothiazolium hexafluorophosphate,,,,,,
BjEOr,371,Vieira et al. (2016),Crystal,ACiwhY,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis(nonafluorobutylsulfonyl)imide,,,,,,
byaQo,368.1,Zhou et al. (2005),Crystal 1,AAzSot,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(trifluoromethyl)borate",,,,,,
qaYpb,256.9,Xue et al. (2016),Crystal,ABchCs,CC(C)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,,,,,,
SaosT,313.1,Thoppil et al. (2020),Crystal,ABMvVT,CCCCCCCCCCCC(=O)[O-].OCC[NH2+]c1ccccc1,N-phenylethanolammonium laurate,,,,,,
hgRPL,355.9,Okuniewska et al. (2014),Crystal,ABabQc,CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
qHpBB,292.9,De La Hoz et al. (2014),Crystal,AByVvE,CCCCCCCCCCCCn1c[n+](C)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-dodecyl-4-methyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
xsaHt,301.9,Grishina et al. (2013),Crystal,AAtWMw,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-butyl-3-methylimidazolium hydrogen sulfate,,,,,,
fEYiZ,305,Vila et al. (2012),Crystal,ABNCBt,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-dodecyl-3-methylimidazolium tetrafluoroborate,,,,,,
pJRzA,336,Domanska et al. (2012b),Crystal,ABKxdb,CCCCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylpyridinium trifluoromethanesulfonate,,,,,,
dOIgM,261.9,Ramenskaya et al. (2020),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
SycAm,301.9,Nakamoto and Watanabe (2007),Crystal,ABSjUk,CCCCCC[NH+](CCCCCC)CCCCCC.O=S(=O)([O-])O,trihexylammonium hydrogen sulfate,,,,,,
kyNRL,374.9,Kollau (2019),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
WsHWb,341.94,Domanska and Mazurowska (2004),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
TREGO,345.1,Serbanovic et al. (2010),Crystal,ABbcYf,CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccc(S(=O)(=O)[O-])cc1,tetrabutylammonium p-toluenesulfonate,,,,,,
jHtbC,280.1,Curnow et al. (2011),Crystal,ACeoXM,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCC)CCCC)1c(N(CCCC)CCCC)[c+]1N(CCCC)CCCC,tris(dibutylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
OqSPZ,298.92,Gardas et al. (2010b),Crystal,ABULCf,CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium L-valinate,,,,,,
hYrGg,301,Gomez et al. (2020),Crystal,ABcDyj,CCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
uJiNd,357.1,Fischer et al. (2005),Crystal,AAqbbL,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[N-][N+](=O)[O-],"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",,,,,,
zSMHF,345.15,Coker et al. (1970),Crystal,ABerKP,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])[O-],"N-heptyl-N,N,N-trihexylammonium nitrate",,,,,,
bgGjP,359.3,Domanska and Bogel-Lukasik (2005),Crystal,AArZTv,CCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",,,,,,
