setid,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EWlGj,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAuLqL,CCCC[n+]1ccc(C)cc1.N#C[C-](C#N)C#N,1-butyl-4-methylpyridinium tricyanomethanide,,,
XDQzX,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
dHtTq,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsEJq,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-butyl-3-methylimidazolium tricyanomethane,,,
goNDq,Bahadur and Deenadayalu (2013),Density,Liquid,AAIsrh,CCO,ethanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
mmVPR,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAqlRf,CCC[N+]1(C)CCCCC1.[Br-],1-methyl-1-propylpiperidinium bromide,,,
FIgvl,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
fypKy,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
dNybr,Ding et al. (2022),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
xfKqO,Ding et al. (2022),Density,Liquid,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,AADYJk,O,water,,,
FlLbY,Domanska and Krolikowska (2010b),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
RWDQW,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
XJtUN,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
AMRbs,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABKAVr,Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,"2,2'-[cyclohexane-1,2-diylbis(nitrilomethylylidene)]diphenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
gQKvy,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
CKVqm,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAIHRm,[Cl-].[Li+],lithium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
PGntF,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
xNPAx,Fang et al. (2014),Density,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
ZLdcq,Geppert-Rybczynska and Sitarek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tSuiH,Gomez et al. (2006b),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
OYIaD,Gonzalez et al. (2012a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JgyuY,Grishina et al. (2013),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
YDZaW,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
KdKpL,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
ZXrYf,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
JQJcK,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
MrroB,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
GARgx,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
lpPqv,Moradi and Farzi (2022),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate
tqbdJ,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
LzNJV,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LVVOd,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
thSKz,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
cNtfm,Pereiro and Rodriguez (2007b),Density,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
epNuO,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
QVwUc,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
TGJIF,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dLJXG,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
Spdzn,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
CQBFD,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,
xXHgV,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
VcJFk,Sastry et al. (2013),Density,Liquid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
QGdSF,Sastry et al. (2013),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
NsJLk,Sastry et al. (2013),Density,Liquid,AADYJk,O,water,ABEdUn,CCCCCC[n+]1ccn(C)c1.[I-],1-hexyl-3-methylimidazolium iodide,,,
xJnmE,Sastry et al. (2013),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
KBewL,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
ZMPWJ,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
BQkHx,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xaGPv,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
boDFL,Shekaari et al. (2013),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
UyNmZ,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
FuBSb,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
NnZhj,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
mnHGc,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
FlJiP,Shekaari et al. (2016b),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,
EBETv,Singh et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
DvaoP,Singh et al. (2017b),Density,Liquid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water,,,
VyYYQ,Vatascin et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,AADYJk,O,water
cSgDD,Vila et al. (2006b),Density,Liquid,AAzOMU,Br[Al](Br)Br,aluminum bromide,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OPQPv,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
AXotx,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,,,
oIxdd,Xing et al. (2016a),Density,Liquid,AADYJk,O,water,AApenP,CCCCC[n+]1ccccc1.N#C[N-]C#N,1-pentylpyridinium dicyanamide,,,
JGjxI,Xing et al. (2016a),Density,Liquid,AADYJk,O,water,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,,,
mZxLn,Xing et al. (2016a),Density,Liquid,AADYJk,O,water,AAkKPA,CCC[n+]1ccccc1.N#C[N-]C#N,1-propylpyridinium dicyanamide,,,
LUzwy,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
AnHVo,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
JeaSr,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
UtgdR,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
eXlVu,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATNDc,CC1CCC(=O)O1,.gamma.-valerolactone,,,
Aewye,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
TNiXu,Aki et al. (2004),Density,Liquid,Gas,,39,AAIYzl,O=C=O,carbon dioxide,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
kbvsV,Canongia Lopes et al. (2016),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
QoUZU,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
amxPe,De Lisi et al. (1984),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,,,
zsSkW,Deenadayalu et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AADYJk,O,water,ABHjxw,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate
dmDcm,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
VRjXk,Gomez et al. (2008),Density,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
aaBwU,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
skngH,Gonzalez and Gonzalez (2014),Density,Liquid,AAIsrh,CCO,ethanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
VsIQA,Gonzalez and Gonzalez (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
yJEfY,Gonzalez et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
RGySt,Gonzalez et al. (2007),Density,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
JjJsp,Gonzalez et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
xiXtE,Gonzalez et al. (2012a),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
UjLLT,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
guGBj,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
UeaBO,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
YowyG,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate,,,
HYqpp,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,
QXdLe,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
aPAAm,Gonzalez et al. (2013b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
EbsWx,Gonzalez et al. (2013b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
vTHRX,Gonzalez et al. (2013c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
apPjb,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kwBiO,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
gvNqm,Gonzalez et al. (2013e),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
ShARs,Heintz et al. (2002a),Density,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
DFaEm,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
eBFrj,Kanakubo and Harris (2015),Density,Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
DKebB,Krakowiak et al. (2000),Density,Liquid,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
UVJhY,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
kHDMb,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
Zrizl,Martak and Schlosser (2017),Density,Liquid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AAQxlj,CCCC(=O)O,butanoic acid,,,
VZyqq,Milioto et al. (1995),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,,,
scGqb,Milioto et al. (1995),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AEKNbL,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,.beta.-cyclodextrin,AADYJk,O,water
PXugN,Patil et al. (2016),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
kEUZD,Pereiro and Rodriguez (2007a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
EiJdo,Pereiro and Rodriguez (2007a),Density,Liquid,AANtck,CCC(C)=O,butanone,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
kktou,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
